cube/weight,arm/velocity_ratio,arm/acceleration_ratio,belt/speed,dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage
32.4,50,50,50,go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,FALSE,25:31.5,16.766,0.154,235
32.4,50,50,50,go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,FALSE,25:33.1,16.766,0.153,235
32.4,50,50,50,go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,FALSE,25:33.9,17.051,0.153,235
32.4,50,50,50,go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,FALSE,25:35.4,16.804,0.155,235
32.4,50,50,50,go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,FALSE,25:36.1,16.861,0.155,235
32.4,50,50,50,go_to_pick_down,blue,TRUE,FALSE,go_to_pick_down,FALSE,25:37.6,16.842,0.157,235
32.4,50,50,50,go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,TRUE,25:38.3,16.842,0.157,235
32.4,50,50,50,go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,TRUE,25:39.0,16.424,0.163,235
32.4,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,TRUE,25:40.5,22.405,0.163,235
32.4,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,TRUE,25:41.2,22.576,0.202,235
32.4,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,TRUE,25:42.1,22.576,0.202,235
32.4,50,50,50,go_to_color_detect_down,blue,TRUE,FALSE,go_to_color_detect_down,TRUE,25:43.6,22.519,0.202,235
32.4,50,50,50,go_to_color_detect_down,blue,TRUE,FALSE,go_to_color_detect_down,TRUE,25:44.3,21.988,0.202,235
32.4,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,FALSE,25:45.1,22.064,0.197,235
32.4,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,FALSE,25:45.9,18.988,0.197,235
32.4,50,50,50,detecting_color,blue,FALSE,FALSE,detecting_color,FALSE,25:47.5,17.222,0.154,235
32.4,50,50,50,go_to_color_detect_down,green,TRUE,FALSE,go_to_color_detect_down,FALSE,25:48.2,16.405,0.154,235
32.4,50,50,50,go_to_color_detect_down,green,TRUE,FALSE,go_to_color_detect_down,FALSE,25:49.7,16.462,0.152,235
32.4,50,50,50,go_to_color_detect_down,green,TRUE,FALSE,go_to_color_detect_down,FALSE,25:50.5,16.462,0.152,235
32.4,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,go_to_color_detect_up,TRUE,25:51.3,16.443,0.152,235
32.4,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,go_to_color_detect_up,TRUE,25:52.0,23.222,0.207,235
32.4,50,50,50,go_to_green_up,green,TRUE,FALSE,go_to_green_up,TRUE,25:53.5,22.14,0.207,235
32.4,50,50,50,go_to_green_up,green,TRUE,FALSE,go_to_green_up,TRUE,25:54.2,22.519,0.2,235
32.4,50,50,50,go_to_green_down,green,TRUE,FALSE,go_to_green_down,TRUE,25:55.0,22.519,0.2,235
32.4,50,50,50,go_to_green_down,green,TRUE,FALSE,go_to_green_down,TRUE,25:56.5,22.007,0.197,235
32.4,50,50,50,go_to_green_up,green,TRUE,FALSE,go_to_green_up,FALSE,25:57.4,22.083,0.197,235
32.4,50,50,50,go_to_green_up,green,TRUE,FALSE,go_to_green_up,FALSE,25:58.1,17.222,0.154,235
32.4,50,50,50,go_to_green_up,green,FALSE,TRUE,go_to_green_up,FALSE,25:59.6,16.994,0.154,235
32.4,50,50,50,go_to_green_up,green,FALSE,TRUE,go_to_green_up,FALSE,26:00.3,16.994,0.154,235
32.4,50,50,50,go_to_green_up,green,FALSE,TRUE,go_to_green_up,FALSE,26:01.0,16.956,0.155,235
32.4,50,50,50,go_to_green_up,green,FALSE,TRUE,go_to_green_up,FALSE,26:02.6,17.089,0.155,235
32.4,50,50,50,go_to_green_up,green,FALSE,TRUE,go_to_green_up,FALSE,26:03.3,16.766,0.155,235
32.4,50,50,50,go_to_green_up,green,FALSE,TRUE,go_to_green_up,FALSE,26:04.0,16.766,0.155,235
32.4,50,50,50,go_to_pick_up,green,TRUE,FALSE,go_to_pick_up,FALSE,26:05.5,16.614,0.156,235
32.4,50,50,50,go_to_pick_up,green,TRUE,FALSE,go_to_pick_up,FALSE,26:06.2,16.614,0.156,235
32.4,50,50,50,go_to_pick_up,green,TRUE,FALSE,go_to_pick_up,FALSE,26:06.9,16.88,0.156,235
32.4,50,50,50,go_to_pick_up,green,TRUE,FALSE,go_to_pick_up,FALSE,26:08.5,16.766,0.153,235
32.4,50,50,50,go_to_pick_down,green,TRUE,FALSE,go_to_pick_down,FALSE,26:09.3,16.861,0.153,235
32.4,50,50,50,go_to_pick_up,green,TRUE,FALSE,go_to_pick_up,TRUE,26:10.0,16.861,0.153,235
32.4,50,50,50,go_to_pick_up,green,TRUE,FALSE,go_to_pick_up,TRUE,26:11.4,23.279,0.153,235
32.4,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,go_to_color_detect_up,TRUE,26:12.2,22.405,0.205,235
32.4,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,go_to_color_detect_up,TRUE,26:13.0,22.405,0.205,235
32.4,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,go_to_color_detect_up,TRUE,26:14.5,22.5,0.2,235
32.4,50,50,50,go_to_color_detect_down,green,TRUE,FALSE,go_to_color_detect_down,TRUE,26:15.3,22.462,0.2,235
32.4,50,50,50,go_to_color_detect_down,green,TRUE,FALSE,go_to_color_detect_down,TRUE,26:16.2,21.969,0.195,235
32.4,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,go_to_color_detect_up,FALSE,26:17.1,21.931,0.195,235
32.4,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,go_to_color_detect_up,FALSE,26:18.5,19.88,0.154,235
32.4,50,50,50,detecting_color,green,FALSE,FALSE,detecting_color,FALSE,26:19.2,17.108,0.154,235
32.4,50,50,50,go_to_color_detect_down,red,TRUE,FALSE,go_to_color_detect_down,FALSE,26:20.1,17.108,0.154,235
32.4,50,50,50,go_to_color_detect_down,red,TRUE,FALSE,go_to_color_detect_down,FALSE,26:21.6,16.576,0.152,235
32.4,50,50,50,go_to_color_detect_down,red,TRUE,FALSE,go_to_color_detect_down,FALSE,26:22.3,16.576,0.152,235
32.4,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,TRUE,26:23.1,16.31,0.152,235
32.4,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,TRUE,26:24.1,23.184,0.152,235
32.4,50,50,50,go_to_red_up,red,TRUE,FALSE,go_to_red_up,TRUE,26:25.4,22.804,0.204,235
32.4,50,50,50,go_to_red_up,red,TRUE,FALSE,go_to_red_up,TRUE,26:26.1,22.045,0.204,235
32.4,50,50,50,go_to_red_up,red,TRUE,FALSE,go_to_red_up,TRUE,26:27.7,22.557,0.203,235
32.4,50,50,50,go_to_red_down,red,TRUE,FALSE,go_to_red_down,TRUE,26:28.5,22.215,0.203,235
32.4,50,50,50,go_to_red_down,red,TRUE,FALSE,go_to_red_down,TRUE,26:29.3,22.064,0.199,235
32.4,50,50,50,go_to_red_up,red,TRUE,FALSE,go_to_red_up,FALSE,26:30.0,22.026,0.199,235
32.4,50,50,50,go_to_red_up,red,TRUE,FALSE,go_to_red_up,FALSE,26:31.7,22.026,0.199,235
32.4,50,50,50,go_to_red_up,red,FALSE,TRUE,go_to_red_up,FALSE,26:32.5,17.184,0.158,235
32.4,50,50,50,go_to_red_up,red,FALSE,TRUE,go_to_red_up,FALSE,26:33.3,17.184,0.158,235
32.4,50,50,50,go_to_red_up,red,FALSE,TRUE,go_to_red_up,FALSE,26:34.0,16.861,0.157,235
32.4,50,50,50,go_to_red_up,red,FALSE,TRUE,go_to_red_up,FALSE,26:35.6,16.861,0.157,235
32.4,50,50,50,go_to_red_up,red,FALSE,TRUE,go_to_red_up,FALSE,26:36.3,16.633,0.155,235
32.4,50,50,50,go_to_pick_up,red,TRUE,FALSE,go_to_pick_up,FALSE,26:37.1,16.709,0.155,235
32.4,50,50,50,go_to_pick_up,red,TRUE,FALSE,go_to_pick_up,FALSE,26:38.5,16.519,0.156,235
32.4,50,50,50,go_to_pick_up,red,TRUE,FALSE,go_to_pick_up,FALSE,26:39.3,16.519,0.156,235
32.4,50,50,50,go_to_pick_up,red,TRUE,FALSE,go_to_pick_up,FALSE,26:40.3,16.69,0.156,235
32.4,50,50,50,go_to_pick_up,red,TRUE,FALSE,go_to_pick_up,FALSE,26:41.0,16.69,0.155,235
32.4,50,50,50,go_to_pick_down,red,TRUE,FALSE,go_to_pick_down,FALSE,26:42.5,16.975,0.156,235
32.4,50,50,50,go_to_pick_down,red,TRUE,FALSE,go_to_pick_down,FALSE,26:43.2,16.386,0.156,235
32.4,50,50,50,go_to_pick_up,red,TRUE,FALSE,go_to_pick_up,TRUE,26:44.7,18.589,0.209,235
32.4,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,TRUE,26:45.4,22.652,0.209,235
32.4,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,TRUE,26:46.2,21.95,0.209,235
32.4,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,TRUE,26:47.0,21.95,0.203,235
32.4,50,50,50,go_to_color_detect_down,red,TRUE,FALSE,go_to_color_detect_down,TRUE,26:48.5,22.234,0.203,235
32.4,50,50,50,go_to_color_detect_down,red,TRUE,FALSE,go_to_color_detect_down,TRUE,26:49.3,21.893,0.199,235
32.4,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,FALSE,26:50.1,21.779,0.199,235
32.4,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,FALSE,26:51.6,21.779,0.198,235
32.4,50,50,50,detecting_color,red,FALSE,FALSE,detecting_color,FALSE,26:52.3,16.766,0.198,235
32.4,50,50,50,detecting_color,red,FALSE,FALSE,detecting_color,FALSE,26:53.1,16.481,0.155,235
32.4,50,50,50,go_to_color_detect_down,blue,TRUE,FALSE,go_to_color_detect_down,FALSE,26:53.9,16.481,0.155,235
32.4,50,50,50,go_to_color_detect_down,blue,TRUE,FALSE,go_to_color_detect_down,FALSE,26:55.6,16.253,0.153,235
32.4,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,TRUE,26:56.4,16.253,0.153,235
32.4,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,TRUE,26:57.3,18.95,0.153,235
32.4,50,50,50,go_to_blue_up,blue,TRUE,FALSE,go_to_blue_up,TRUE,26:58.0,22.766,0.206,235
32.4,50,50,50,go_to_blue_up,blue,TRUE,FALSE,go_to_blue_up,TRUE,26:59.5,22.272,0.203,235
32.4,50,50,50,go_to_blue_up,blue,TRUE,FALSE,go_to_blue_up,TRUE,27:00.3,22.481,0.203,235
32.4,50,50,50,go_to_blue_up,blue,TRUE,FALSE,go_to_blue_up,TRUE,27:01.1,22.481,0.203,235
32.4,50,50,50,go_to_blue_down,blue,TRUE,FALSE,go_to_blue_down,TRUE,27:02.6,22.424,0.204,235
32.4,50,50,50,go_to_blue_down,blue,TRUE,FALSE,go_to_blue_down,TRUE,27:03.6,21.684,0.204,235
32.4,50,50,50,go_to_blue_up,blue,TRUE,FALSE,go_to_blue_up,FALSE,27:04.4,21.57,0.196,235
32.4,50,50,50,go_to_blue_up,blue,TRUE,FALSE,go_to_blue_up,FALSE,27:05.1,16.728,0.196,235
32.4,50,50,50,go_to_blue_up,blue,FALSE,TRUE,go_to_blue_up,FALSE,27:06.6,16.785,0.158,235
32.4,50,50,50,go_to_blue_up,blue,FALSE,TRUE,go_to_blue_up,FALSE,27:07.5,16.785,0.158,235
32.4,50,50,50,go_to_blue_up,blue,FALSE,TRUE,go_to_blue_up,FALSE,27:08.2,16.728,0.158,235
32.4,50,50,50,go_to_blue_up,blue,FALSE,TRUE,go_to_blue_up,FALSE,27:08.9,16.823,0.158,235
32.4,50,50,50,go_to_blue_up,blue,FALSE,TRUE,go_to_blue_up,FALSE,27:10.5,16.823,0.158,235
32.4,50,50,50,go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,FALSE,27:11.3,16.842,0.157,235
32.4,50,50,50,go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,FALSE,27:12.1,16.842,0.157,235
32.4,50,50,50,go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,FALSE,27:13.5,17.051,0.158,236.8
32.4,50,50,50,go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,FALSE,27:14.3,17.051,0.158,236.8
32.4,50,50,50,go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,FALSE,27:15.2,16.994,0.158,236.8
32.4,50,50,50,go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,FALSE,27:16.6,17.089,0.158,235
32.4,50,50,50,go_to_pick_down,blue,TRUE,FALSE,go_to_pick_down,FALSE,27:17.3,16.994,0.159,235
32.4,50,50,50,go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,TRUE,27:18.7,16.481,0.159,236.8
32.4,50,50,50,go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,TRUE,27:19.5,22.956,0.198,236.8
32.4,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,TRUE,27:20.3,22.557,0.198,235
32.4,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,TRUE,27:21.7,22.424,0.205,235
32.4,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,TRUE,27:22.4,22.671,0.205,235
32.4,50,50,50,go_to_color_detect_down,blue,TRUE,FALSE,go_to_color_detect_down,TRUE,27:23.3,22.69,0.205,235
32.4,50,50,50,go_to_color_detect_down,blue,TRUE,FALSE,go_to_color_detect_down,TRUE,27:24.1,22.31,0.202,235
32.4,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,FALSE,27:25.7,22.102,0.197,236.8
32.4,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,FALSE,27:26.5,22.102,0.197,235
32.4,50,50,50,detecting_color,blue,FALSE,FALSE,detecting_color,FALSE,27:27.3,17.279,0.197,235
32.4,50,50,50,detecting_color,blue,FALSE,FALSE,detecting_color,FALSE,27:28.0,17.279,0.155,235
32.4,50,50,50,go_to_color_detect_down,green,TRUE,FALSE,go_to_color_detect_down,FALSE,27:29.5,16.728,0.155,236.8
32.4,50,50,50,go_to_color_detect_down,green,TRUE,FALSE,go_to_color_detect_down,FALSE,27:30.3,16.728,0.153,236.8
32.4,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,go_to_color_detect_up,TRUE,27:31.0,16.652,0.153,235
32.4,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,go_to_color_detect_up,TRUE,27:32.7,22.937,0.207,235
32.4,50,50,50,go_to_green_up,green,TRUE,FALSE,go_to_green_up,TRUE,27:33.5,22.405,0.207,235
32.4,50,50,50,go_to_green_up,green,TRUE,FALSE,go_to_green_up,TRUE,27:34.2,22.405,0.207,235
32.4,50,50,50,go_to_green_down,green,TRUE,FALSE,go_to_green_down,TRUE,27:35.6,22.633,0.2,235
32.4,50,50,50,go_to_green_down,green,TRUE,FALSE,go_to_green_down,TRUE,27:36.4,22.272,0.198,235
32.4,50,50,50,go_to_green_up,green,TRUE,FALSE,go_to_green_up,FALSE,27:37.1,22.234,0.198,235
32.4,50,50,50,go_to_green_up,green,TRUE,FALSE,go_to_green_up,FALSE,27:38.6,21.646,0.157,235
32.4,50,50,50,go_to_green_up,green,FALSE,TRUE,go_to_green_up,FALSE,27:39.5,17.26,0.157,235
32.4,50,50,50,go_to_green_up,green,FALSE,TRUE,go_to_green_up,FALSE,27:40.2,17.26,0.157,235
32.4,50,50,50,go_to_green_up,green,FALSE,TRUE,go_to_green_up,FALSE,27:41.0,16.804,0.158,235
32.4,50,50,50,go_to_green_up,green,FALSE,TRUE,go_to_green_up,FALSE,27:42.5,16.861,0.158,235
32.4,50,50,50,go_to_green_up,green,FALSE,TRUE,go_to_green_up,FALSE,27:43.3,16.538,0.155,235
32.4,50,50,50,go_to_green_up,green,FALSE,TRUE,go_to_green_up,FALSE,27:44.1,17.07,0.155,235
