cube/weight,arm/velocity_ratio,arm/acceleration_ratio,belt/speed,dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage
1.2,55,55,55,detecting_color,green,FALSE,FALSE,FALSE,52:07.7,16.785,0.157,233.1
1.2,55,55,55,go_to_color_detect_down,blue,TRUE,FALSE,FALSE,52:08.5,16.12,0.157,233.1
1.2,55,55,55,go_to_color_detect_down,blue,TRUE,FALSE,FALSE,52:10.1,16.12,0.151,233.1
1.2,55,55,55,go_to_color_detect_up,blue,TRUE,FALSE,TRUE,52:10.9,16.177,0.151,233.1
1.2,55,55,55,go_to_color_detect_up,blue,TRUE,FALSE,TRUE,52:11.7,22.823,0.183,233.1
1.2,55,55,55,go_to_blue_up,blue,TRUE,FALSE,TRUE,52:12.4,22.652,0.183,233.1
1.2,55,55,55,go_to_blue_up,blue,TRUE,FALSE,TRUE,52:14.0,22.102,0.199,233.1
1.2,55,55,55,go_to_blue_up,blue,TRUE,FALSE,TRUE,52:14.8,22.557,0.199,233.1
1.2,55,55,55,go_to_blue_down,blue,TRUE,FALSE,TRUE,52:15.7,22.595,0.205,233.1
1.2,55,55,55,go_to_blue_down,blue,TRUE,FALSE,TRUE,52:17.2,22.007,0.205,233.1
1.2,55,55,55,go_to_blue_up,blue,TRUE,FALSE,FALSE,52:18.0,21.969,0.199,233.1
1.2,55,55,55,go_to_blue_up,blue,TRUE,FALSE,FALSE,52:18.7,20.013,0.199,233.1
1.2,55,55,55,go_to_pick_up_from_blue,blue,TRUE,FALSE,FALSE,52:19.6,20.013,0.199,233.1
1.2,55,55,55,go_to_pick_up_from_blue,blue,TRUE,FALSE,FALSE,52:21.1,17.108,0.16,233.1
1.2,55,55,55,go_to_pick_up_from_blue,blue,TRUE,FALSE,FALSE,52:21.8,16.652,0.159,233.1
1.2,55,55,55,go_to_pick_up_from_blue,blue,TRUE,FALSE,FALSE,52:22.6,16.956,0.159,233.1
1.2,55,55,55,go_to_pick_up_from_blue,blue,TRUE,FALSE,FALSE,52:24.2,16.766,0.157,233.1
1.2,55,55,55,moving_belt,blue,FALSE,TRUE,FALSE,52:24.9,17.032,0.157,233.1
1.2,55,55,55,moving_belt,blue,FALSE,TRUE,FALSE,52:25.6,17.032,0.157,233.1
1.2,55,55,55,moving_belt,blue,FALSE,TRUE,FALSE,52:27.1,16.481,0.157,233.1
1.2,55,55,55,moving_belt,blue,FALSE,TRUE,FALSE,52:27.9,16.481,0.157,233.1
1.2,55,55,55,moving_belt,blue,FALSE,TRUE,FALSE,52:27.9,16.481,0.157,233.1
1.2,55,55,55,go_to_pick_down,blue,TRUE,FALSE,FALSE,52:27.9,16.481,0.157,233.1
1.2,55,55,55,go_to_pick_down,blue,TRUE,FALSE,FALSE,52:31.0,16.652,0.156,233.1
1.2,55,55,55,go_to_pick_up_from_pick_down,blue,TRUE,FALSE,TRUE,52:31.8,16.652,0.156,233.1
1.2,55,55,55,go_to_color_detect_up,blue,TRUE,FALSE,TRUE,52:32.4,17.374,0.156,233.1
1.2,55,55,55,go_to_color_detect_up,blue,TRUE,FALSE,TRUE,52:33.7,23.089,0.208,233.1
1.2,55,55,55,go_to_color_detect_up,blue,TRUE,FALSE,TRUE,52:34.5,22.272,0.208,233.1
1.2,55,55,55,go_to_color_detect_down,blue,TRUE,FALSE,TRUE,52:36.1,22.557,0.205,233.1
1.2,55,55,55,go_to_color_detect_down,blue,TRUE,FALSE,TRUE,52:36.9,22.253,0.205,233.1
1.2,55,55,55,go_to_color_detect_up,blue,TRUE,FALSE,FALSE,52:37.6,21.95,0.197,233.1
1.2,55,55,55,go_to_color_detect_up,blue,TRUE,FALSE,FALSE,52:39.2,21.741,0.158,233.1
1.2,55,55,55,detecting_color,blue,FALSE,FALSE,FALSE,52:40.0,17.089,0.158,233.1
1.2,55,55,55,detecting_color,blue,FALSE,FALSE,FALSE,52:40.9,16.31,0.158,233.1
1.2,55,55,55,go_to_color_detect_down,red,TRUE,FALSE,FALSE,52:41.9,16.31,0.151,233.1
1.2,55,55,55,go_to_color_detect_down,red,TRUE,FALSE,FALSE,52:42.7,16.063,0.151,233.1
1.2,55,55,55,go_to_color_detect_up,red,TRUE,FALSE,TRUE,52:42.7,16.063,0.151,233.1
1.2,55,55,55,go_to_color_detect_up,red,TRUE,FALSE,TRUE,52:44.5,16.196,0.151,233.1
1.2,55,55,55,go_to_red_up,red,TRUE,FALSE,TRUE,52:45.9,22.007,0.2,233.1
1.2,55,55,55,go_to_red_up,red,TRUE,FALSE,TRUE,52:46.8,22.007,0.2,233.1
1.2,55,55,55,go_to_red_down,red,TRUE,FALSE,TRUE,52:48.2,22.5,0.205,233.1
1.2,55,55,55,go_to_red_down,red,TRUE,FALSE,TRUE,52:48.9,22.386,0.205,233.1
1.2,55,55,55,go_to_red_up,red,TRUE,FALSE,FALSE,52:49.7,22.31,0.205,233.1
1.2,55,55,55,go_to_red_up,red,TRUE,FALSE,FALSE,52:51.1,22.158,0.2,233.1
1.2,55,55,55,go_to_pick_up_from_red,red,TRUE,FALSE,FALSE,52:51.8,17.241,0.2,233.1
1.2,55,55,55,go_to_pick_up_from_red,red,TRUE,FALSE,FALSE,52:52.5,17.241,0.16,233.1
1.2,55,55,55,go_to_pick_up_from_red,red,TRUE,FALSE,FALSE,52:54.1,17.013,0.16,233.1
1.2,55,55,55,go_to_pick_up_from_red,red,TRUE,FALSE,FALSE,52:54.9,17.013,0.159,233.1
1.2,55,55,55,go_to_pick_up_from_red,red,TRUE,FALSE,FALSE,52:55.6,16.899,0.159,233.1
1.2,55,55,55,moving_belt,red,FALSE,TRUE,FALSE,52:57.1,17.184,0.16,233.1
1.2,55,55,55,moving_belt,red,FALSE,TRUE,FALSE,52:57.9,16.728,0.16,233.1
1.2,55,55,55,moving_belt,red,FALSE,TRUE,FALSE,52:58.9,16.557,0.155,233.1
1.2,55,55,55,moving_belt,red,FALSE,TRUE,FALSE,52:59.6,16.557,0.155,233.1
1.2,55,55,55,moving_belt,red,FALSE,TRUE,FALSE,53:00.4,16.481,0.155,233.1
1.2,55,55,55,go_to_pick_down,red,TRUE,FALSE,FALSE,53:02.1,16.215,0.155,233.1
1.2,55,55,55,go_to_pick_up_from_pick_down,red,TRUE,FALSE,TRUE,53:02.9,16.272,0.155,233.1
1.2,55,55,55,go_to_pick_up_from_pick_down,red,TRUE,FALSE,TRUE,53:03.7,19.975,0.153,233.1
1.2,55,55,55,go_to_color_detect_up,red,TRUE,FALSE,TRUE,53:05.2,22.31,0.2,233.1
1.2,55,55,55,go_to_color_detect_up,red,TRUE,FALSE,TRUE,53:06.0,22.272,0.2,233.1
1.2,55,55,55,go_to_color_detect_up,red,TRUE,FALSE,TRUE,53:06.8,22.291,0.2,233.1
1.2,55,55,55,go_to_color_detect_down,red,TRUE,FALSE,TRUE,53:07.6,22.253,0.2,233.1
1.2,55,55,55,go_to_color_detect_down,red,TRUE,FALSE,TRUE,53:08.6,21.684,0.2,233.1
1.2,55,55,55,go_to_color_detect_up,red,TRUE,FALSE,FALSE,53:10.1,18.171,0.194,233.1
1.2,55,55,55,go_to_color_detect_up,red,TRUE,FALSE,FALSE,53:10.9,18.171,0.194,233.1
1.2,55,55,55,detecting_color,red,FALSE,FALSE,FALSE,53:11.7,16.709,0.152,233.1
1.2,55,55,55,go_to_color_detect_down,green,TRUE,FALSE,FALSE,53:13.2,15.949,0.152,233.1
1.2,55,55,55,go_to_color_detect_down,green,TRUE,FALSE,FALSE,53:14.0,16.025,0.15,233.1
1.2,55,55,55,go_to_color_detect_up,green,TRUE,FALSE,TRUE,53:14.7,16.025,0.15,233.1
1.2,55,55,55,go_to_color_detect_up,green,TRUE,FALSE,TRUE,53:15.6,16.006,0.15,233.1
1.2,55,55,55,go_to_green_up,green,TRUE,FALSE,TRUE,53:17.2,22.177,0.204,233.1
1.2,55,55,55,go_to_green_up,green,TRUE,FALSE,TRUE,53:17.9,22.14,0.204,233.1
1.2,55,55,55,go_to_green_down,green,TRUE,FALSE,TRUE,53:18.6,22.14,0.204,233.1
1.2,55,55,55,go_to_green_down,green,TRUE,FALSE,TRUE,53:20.0,21.627,0.204,233.1
