meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/suction_enabled
40:29.2,16.234,0.153,235,FALSE
40:30.1,16.234,0.153,235,FALSE
40:30.8,16.234,0.154,235,FALSE
40:31.9,16.234,0.154,235,FALSE
40:33.4,16.196,0.153,235,FALSE
40:34.3,16.196,0.153,235,FALSE
40:35.0,16.31,0.153,235,FALSE
40:36.5,16.31,0.153,236.8,FALSE
40:36.5,16.31,0.153,236.8,FALSE
40:37.9,16.234,0.153,236.8,FALSE
40:38.9,16.196,0.153,233.1,FALSE
40:39.8,16.234,0.153,233.1,FALSE
40:40.9,16.329,0.154,233.1,FALSE
40:41.9,16.329,0.154,233.1,FALSE
40:43.3,16.291,0.154,233.1,FALSE
40:44.3,16.234,0.154,235,FALSE
40:45.1,16.31,0.155,235,FALSE
40:46.6,22.652,0.209,235,TRUE
40:47.5,22.652,0.209,233.1,TRUE
40:48.4,22.064,0.209,233.1,TRUE
40:49.5,22.158,0.202,233.1,TRUE
40:49.5,22.158,0.202,233.1,TRUE
40:50.7,21.893,0.202,235,TRUE
40:51.9,22.064,0.202,235,TRUE
40:52.9,22.045,0.202,233.1,TRUE
40:53.7,22.196,0.202,233.1,TRUE
40:55.7,21.95,0.202,233.1,TRUE
40:56.4,22.007,0.2,233.1,TRUE
40:56.4,22.007,0.2,233.1,TRUE
40:57.8,21.912,0.2,233.1,TRUE
40:59.4,22.045,0.2,235,TRUE
41:00.1,22.045,0.2,233.1,TRUE
41:01.1,22.007,0.2,233.1,TRUE
41:02.3,22.064,0.2,233.1,TRUE
41:02.3,22.064,0.2,233.1,TRUE
41:03.7,21.893,0.2,235,TRUE
41:04.7,21.893,0.2,235,TRUE
41:05.8,22.026,0.2,235,TRUE
41:07.5,21.893,0.2,233.1,TRUE
41:08.6,21.988,0.199,233.1,TRUE
41:09.4,21.779,0.199,233.1,TRUE
41:10.5,21.988,0.2,233.1,TRUE
41:11.3,21.893,0.2,235,TRUE
41:12.1,21.779,0.2,235,TRUE
41:13.4,21.95,0.2,233.1,TRUE
41:14.2,21.874,0.2,233.1,TRUE
41:15.0,21.874,0.2,233.1,TRUE
41:15.9,21.969,0.2,233.1,TRUE
41:17.6,21.779,0.2,233.1,TRUE
41:18.6,16.215,0.154,233.1,FALSE
41:19.6,16.253,0.154,235,FALSE
41:20.4,16.443,0.154,235,FALSE
41:21.2,16.253,0.154,235,FALSE
41:22.1,16.253,0.154,233.1,FALSE
41:22.9,16.139,0.155,233.1,FALSE
41:24.5,16.272,0.155,233.1,FALSE
41:24.5,16.272,0.155,233.1,FALSE
41:24.5,16.272,0.155,233.1,FALSE
41:24.5,16.272,0.155,233.1,FALSE
41:28.3,16.329,0.155,233.1,FALSE
41:29.1,16.31,0.155,235,FALSE
41:30.7,16.31,0.155,233.1,FALSE
41:30.7,16.31,0.155,233.1,FALSE
41:32.2,16.386,0.155,233.1,FALSE
41:33.3,16.215,0.155,233.1,FALSE
41:34.0,16.272,0.154,233.1,FALSE
41:35.7,16.348,0.154,233.1,FALSE
41:36.5,16.272,0.154,233.1,FALSE
41:37.3,16.272,0.154,233.1,FALSE
41:38.0,16.367,0.154,233.1,FALSE
41:38.8,16.329,0.154,233.1,FALSE
41:39.7,16.329,0.154,235,FALSE
41:40.8,16.215,0.154,235,FALSE
41:40.8,16.215,0.154,235,FALSE
41:42.8,16.348,0.154,233.1,FALSE
41:43.8,16.424,0.154,233.1,FALSE
41:45.6,16.329,0.155,233.1,FALSE
41:46.5,16.234,0.155,233.1,FALSE
41:47.2,22.576,0.203,233.1,TRUE
41:48.2,21.969,0.203,233.1,TRUE
41:49.3,21.931,0.203,233.1,TRUE
41:50.2,21.988,0.2,233.1,TRUE
41:51.4,21.912,0.2,233.1,TRUE
41:52.2,21.931,0.2,233.1,TRUE
41:53.7,22.007,0.202,233.1,TRUE
41:54.4,21.969,0.202,233.1,TRUE
41:55.1,21.969,0.202,233.1,TRUE
41:56.5,22.083,0.2,233.1,TRUE
41:57.3,21.988,0.2,233.1,TRUE
41:58.4,22.064,0.2,233.1,TRUE
41:59.2,21.912,0.2,233.1,TRUE
41:59.9,21.855,0.2,233.1,TRUE
42:01.6,21.912,0.2,233.1,TRUE
42:02.6,21.855,0.199,233.1,TRUE
42:03.6,21.874,0.199,233.1,TRUE
42:03.6,21.874,0.199,233.1,TRUE
42:05.1,21.969,0.199,233.1,TRUE
42:06.2,21.817,0.199,233.1,TRUE
42:06.9,21.912,0.199,233.1,TRUE
42:08.6,21.741,0.199,233.1,TRUE
42:08.6,21.741,0.199,233.1,TRUE
42:10.7,21.931,0.199,233.1,TRUE
42:10.7,21.931,0.199,233.1,TRUE
42:12.3,21.95,0.199,233.1,TRUE
42:12.3,21.95,0.199,233.1,TRUE
42:14.0,21.817,0.197,233.1,TRUE
42:15.2,21.798,0.164,233.1,TRUE
42:16.0,16.253,0.164,233.1,FALSE
42:17.1,16.215,0.155,233.1,FALSE
42:17.1,16.215,0.155,233.1,FALSE
42:18.8,16.348,0.155,233.1,FALSE
42:19.9,16.215,0.154,233.1,FALSE
42:21.5,16.481,0.154,233.1,FALSE
42:22.5,16.329,0.154,235,FALSE
42:23.5,16.386,0.153,235,FALSE
42:23.5,16.386,0.153,235,FALSE
42:25.2,16.215,0.153,233.1,FALSE
42:25.9,16.329,0.154,233.1,FALSE
42:27.6,16.329,0.154,233.1,FALSE
42:28.3,16.329,0.154,233.1,FALSE
42:29.3,16.272,0.154,233.1,FALSE
42:30.1,16.348,0.154,233.1,FALSE
42:31.6,16.31,0.153,233.1,FALSE
42:32.4,16.348,0.154,233.1,FALSE
42:33.2,16.348,0.154,233.1,FALSE
42:34.0,16.215,0.154,233.1,FALSE
42:34.0,16.215,0.154,233.1,FALSE
42:36.7,16.291,0.154,233.1,FALSE
42:37.4,16.386,0.154,233.1,FALSE
42:38.3,16.386,0.154,235,FALSE
42:39.1,16.31,0.152,235,FALSE
42:40.1,16.177,0.152,235,FALSE
42:41.0,16.177,0.152,235,FALSE
42:42.0,16.348,0.153,235,FALSE
42:42.0,16.348,0.153,235,FALSE
42:43.8,16.329,0.153,236.8,FALSE
42:45.1,16.329,0.153,235,FALSE
42:46.0,16.196,0.153,235,FALSE
42:46.9,16.348,0.153,235,FALSE
42:47.8,22.386,0.153,235,TRUE
42:48.9,21.988,0.198,235,TRUE
42:50.5,21.95,0.197,235,TRUE
42:51.3,21.95,0.197,235,TRUE
42:52.7,21.969,0.197,235,TRUE
42:53.5,22.045,0.197,235,TRUE
42:54.4,21.931,0.198,235,TRUE
42:55.2,21.931,0.198,235,TRUE
42:56.2,21.893,0.198,235,TRUE
42:57.3,21.817,0.196,235,TRUE
42:58.1,21.95,0.196,236.8,TRUE
42:58.8,21.95,0.197,236.8,TRUE
43:00.7,21.722,0.197,236.8,TRUE
43:01.6,21.912,0.197,236.8,TRUE
43:02.6,21.836,0.197,236.8,TRUE
43:03.4,22.007,0.197,236.8,TRUE
43:04.2,21.798,0.197,235,TRUE
43:05.2,21.969,0.197,235,TRUE
43:06.0,21.931,0.197,236.8,TRUE
43:07.7,21.874,0.2,235,TRUE
43:08.7,21.798,0.2,235,TRUE
43:09.6,21.817,0.197,235,TRUE
43:10.4,21.874,0.197,235,TRUE
43:11.1,21.836,0.197,235,TRUE
43:11.1,21.836,0.197,235,TRUE
43:12.9,21.779,0.197,235,TRUE
43:14.0,21.817,0.196,235,TRUE
43:15.5,21.893,0.196,235,TRUE
43:16.2,21.703,0.197,235,TRUE
43:17.0,16.823,0.197,235,FALSE
43:17.8,16.823,0.153,235,FALSE
43:19.3,16.348,0.153,235,FALSE
43:20.0,16.348,0.153,235,FALSE
43:21.0,16.31,0.153,235,FALSE
43:22.7,16.215,0.153,235,FALSE
43:22.7,16.215,0.153,235,FALSE
43:24.4,16.234,0.153,235,FALSE
43:25.2,16.158,0.152,235,FALSE
43:26.6,16.386,0.152,235,FALSE
43:27.3,16.386,0.153,235,FALSE
43:28.0,16.291,0.153,235,FALSE
43:29.6,16.329,0.153,235,FALSE
43:30.4,16.329,0.153,235,FALSE
43:31.1,16.329,0.152,235,FALSE
43:32.5,16.329,0.152,235,FALSE
43:33.3,16.443,0.152,235,FALSE
43:34.2,16.443,0.152,235,FALSE
43:35.7,16.272,0.152,235,FALSE
43:36.4,16.272,0.152,235,FALSE
43:37.2,16.234,0.152,235,FALSE
43:37.9,16.196,0.153,235,FALSE
43:39.1,16.196,0.153,235,FALSE
43:39.9,16.158,0.153,235,FALSE
43:41.0,16.348,0.152,235,FALSE
43:42.7,16.386,0.153,236.8,FALSE
43:43.6,16.386,0.153,235,FALSE
43:44.5,16.424,0.153,235,FALSE
43:45.3,16.424,0.152,235,FALSE
43:46.1,16.348,0.152,236.8,FALSE
43:46.1,16.348,0.152,236.8,FALSE
43:47.9,20.753,0.203,236.8,TRUE
43:49.2,21.95,0.203,236.8,TRUE
43:49.2,21.95,0.203,236.8,TRUE
