meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/velocity
24:27.1,16.424,0.158,235,10
24:28.5,16.31,0.159,235,10
24:29.2,16.31,0.159,235,10
24:30.7,16.329,0.158,235,10
24:31.4,16.329,0.158,235,10
24:32.7,16.272,0.158,235,10
24:33.4,16.253,0.158,235,10
24:34.1,16.291,0.157,235,10
24:35.5,16.462,0.157,235,10
24:36.2,16.462,0.155,235,10
24:37.6,16.5,0.155,235,10
24:38.3,16.538,0.155,235,10
24:39.7,16.614,0.156,235,10
24:40.4,16.424,0.156,235,10
24:41.8,16.386,0.154,235,10
24:42.5,16.386,0.154,235,10
24:43.2,16.31,0.157,235,10
24:44.5,16.405,0.157,235,10
24:45.2,16.367,0.154,235,10
24:46.6,16.576,0.154,235,10
24:47.3,16.576,0.159,235,10
24:48.7,16.614,0.159,235,10
24:49.4,16.538,0.159,235,10
24:50.7,16.557,0.159,236.8,10
24:51.5,16.367,0.159,236.8,10
24:52.2,16.367,0.158,236.8,10
24:53.5,16.329,0.158,235,10
24:54.2,16.481,0.158,235,10
24:55.6,16.519,0.158,235,10
24:56.3,16.405,0.157,235,10
24:57.7,16.272,0.157,235,10
24:58.4,16.272,0.157,235,10
24:59.8,16.557,0.157,235,10
25:00.5,16.443,0.157,235,10
25:11.6,16.386,0.155,235,20
25:12.3,16.386,0.155,235,20
25:13.7,16.253,0.155,235,20
25:14.4,16.633,0.158,235,20
25:15.8,16.405,0.158,235,20
25:16.5,16.405,0.159,235,20
25:17.2,16.329,0.159,235,20
25:18.5,16.519,0.159,235,20
25:19.2,16.348,0.159,235,20
25:20.6,16.424,0.157,235,20
25:21.3,16.424,0.157,235,20
25:22.7,16.348,0.158,235,20
25:23.4,16.348,0.158,235,20
25:24.8,16.595,0.158,235,20
25:25.5,16.785,0.16,235,20
25:26.8,16.367,0.16,235,20
25:27.5,16.367,0.157,235,20
25:28.2,16.386,0.157,235,20
25:29.6,16.367,0.159,235,20
25:30.3,16.31,0.159,235,20
25:31.7,16.557,0.159,235,20
25:32.4,16.557,0.159,235,20
25:33.8,16.671,0.159,235,20
25:34.5,16.405,0.157,235,20
25:35.2,16.405,0.157,235,20
25:36.5,16.291,0.153,235,20
25:37.2,16.291,0.153,235,20
25:38.6,16.329,0.156,235,20
25:39.3,16.272,0.156,235,20
25:40.7,16.443,0.158,235,20
25:41.4,16.462,0.158,235,20
25:42.7,16.31,0.158,235,20
25:43.4,16.31,0.157,235,20
