meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/acceleration
52:12.7,16.367,0.158,235,10
52:14.1,16.348,0.158,235,10
52:14.8,16.386,0.158,235,10
52:16.2,16.386,0.158,235,10
52:16.9,16.386,0.158,235,10
52:17.6,16.576,0.158,235,10
52:19.0,16.576,0.16,235,10
52:19.7,16.595,0.16,235,10
52:21.1,16.443,0.159,235,10
52:21.8,16.443,0.159,235,10
52:22.8,16.329,0.159,235,10
52:24.2,16.519,0.157,235,10
52:25.1,16.443,0.157,235,10
52:25.8,16.424,0.158,235,10
52:26.9,16.424,0.158,235,10
52:27.7,16.424,0.158,235,10
52:28.7,16.291,0.156,235,10
52:29.5,16.424,0.156,235,10
52:31.1,16.728,0.159,235,10
52:31.8,16.728,0.159,235,10
52:33.2,16.671,0.159,235,10
52:33.9,16.671,0.159,235,10
52:34.6,16.5,0.158,235,10
52:36.0,16.481,0.158,235,10
52:36.7,16.481,0.158,235,10
52:38.1,16.462,0.158,235,10
52:38.8,16.462,0.157,235,10
52:39.5,16.386,0.157,235,10
52:41.2,16.348,0.158,235,10
52:41.8,16.443,0.158,235,10
52:42.8,16.443,0.158,235,10
52:44.2,16.367,0.157,235,10
52:44.9,16.367,0.157,235,10
52:45.8,16.405,0.158,235,10
52:46.5,16.405,0.158,235,10
52:48.2,16.462,0.159,235,10
52:49.0,16.462,0.159,235,10
52:50.0,16.367,0.159,235,10
52:50.8,16.329,0.157,235,10
52:51.6,16.329,0.157,235,10
52:52.9,16.519,0.158,235,10
52:53.6,16.519,0.158,235,10
52:55.0,16.443,0.157,235,10
52:55.7,16.31,0.157,235,10
52:57.1,16.481,0.157,235,10
52:57.8,16.481,0.157,235,10
52:59.2,16.386,0.157,235,10
52:59.9,16.386,0.157,235,10
53:01.2,16.329,0.157,235,10
53:01.9,16.538,0.157,235,10
53:02.6,16.538,0.157,235,10
53:04.0,16.443,0.157,235,10
53:04.7,16.443,0.157,235,10
53:06.1,16.538,0.156,235,10
53:06.8,16.386,0.156,235,10
53:08.2,16.462,0.157,235,10
53:08.9,16.557,0.157,235,10
53:09.6,16.557,0.157,235,10
53:11.0,16.595,0.158,235,10
53:11.7,16.633,0.158,235,10
53:13.1,16.481,0.158,235,10
53:13.8,16.481,0.158,235,10
53:15.2,16.272,0.157,235,10
53:15.9,16.272,0.157,235,10
53:16.6,16.519,0.157,235,10
53:18.1,16.519,0.156,235,10
53:18.8,16.538,0.156,235,10
53:19.5,16.538,0.158,235,10
53:21.0,16.405,0.158,235,10
53:21.7,16.709,0.159,235,10
53:22.5,16.595,0.159,235,10
53:24.0,16.709,0.159,235,10
53:24.7,16.709,0.159,235,10
53:26.1,16.424,0.157,235,10
53:26.7,16.348,0.157,235,10
53:28.1,16.329,0.157,235,10
53:28.8,16.481,0.157,235,10
53:30.2,16.481,0.157,235,10
53:30.9,16.481,0.157,235,10
53:31.6,16.424,0.157,235,10
53:33.0,16.5,0.158,235,10
53:33.7,16.367,0.158,235,10
53:35.1,16.31,0.157,235,10
53:35.8,16.31,0.157,235,10
53:36.5,16.462,0.157,235,10
00:27.3,16.5,0.153,235,20
00:27.3,16.5,0.153,235,20
00:29.1,16.386,0.155,235,20
00:29.9,16.405,0.154,235,20
00:30.7,16.272,0.154,235,20
00:32.2,16.386,0.154,235,20
00:33.0,16.386,0.154,235,20
00:33.8,16.386,0.154,235,20
00:35.2,16.5,0.154,235,20
00:35.9,16.5,0.154,235,20
00:36.6,16.69,0.157,235,20
00:38.2,16.443,0.157,235,20
00:38.9,16.443,0.155,235,20
00:39.6,16.443,0.155,235,20
00:41.1,16.386,0.155,235,20
00:41.9,16.386,0.155,235,20
00:42.7,16.405,0.155,235,20
00:44.2,16.462,0.154,235,20
00:45.0,16.31,0.154,235,20
00:45.9,16.31,0.154,235,20
00:46.7,16.386,0.154,235,20
00:48.2,16.348,0.155,235,20
00:49.1,16.69,0.155,235,20
00:50.0,16.5,0.156,235,20
00:50.8,16.5,0.156,235,20
00:52.3,16.329,0.154,235,20
00:53.0,16.329,0.154,235,20
00:53.7,16.557,0.154,235,20
00:54.5,16.557,0.154,235,20
00:55.8,16.462,0.154,235,20
00:57.1,16.348,0.155,235,20
00:58.0,16.538,0.155,235,20
00:58.7,16.633,0.157,235,20
01:00.3,16.614,0.157,235,20
01:01.3,16.519,0.154,235,20
01:02.1,16.462,0.154,235,20
01:02.9,16.462,0.154,235,20
01:04.4,16.443,0.153,235,20
01:05.1,16.443,0.153,235,20
01:05.8,16.519,0.154,235,20
01:06.6,16.519,0.154,235,20
01:07.5,16.481,0.154,235,20
01:09.4,16.443,0.154,235,20
01:10.1,16.443,0.154,235,20
01:11.0,16.424,0.154,235,20
01:11.8,16.443,0.154,235,20
01:13.3,16.766,0.155,235,20
01:14.1,16.329,0.155,235,20
01:14.8,16.329,0.155,235,20
01:16.3,16.538,0.155,235,20
01:17.0,16.424,0.155,235,20
01:17.8,16.424,0.155,235,20
01:19.3,16.5,0.153,235,20
01:20.0,16.519,0.153,235,20
01:20.0,16.519,0.153,235,20
01:22.4,16.196,0.154,235,20
01:23.1,16.405,0.154,235,20
01:23.8,16.405,0.154,235,20
01:25.2,16.785,0.154,235,20
01:26.0,16.785,0.157,235,20
01:26.7,16.652,0.157,235,20
01:28.3,16.481,0.153,235,20
01:29.0,16.386,0.153,235,20
01:29.8,16.386,0.153,235,20
01:31.0,16.291,0.153,235,20
01:31.7,16.5,0.153,235,20
01:33.1,16.386,0.153,235,20
01:33.9,16.386,0.153,235,20
01:34.6,16.652,0.157,235,20
01:36.2,16.633,0.157,235,20
01:37.1,16.557,0.154,235,20
01:37.9,16.405,0.154,235,20
01:38.7,16.405,0.154,235,20
01:40.2,16.386,0.154,235,20
01:40.9,16.386,0.154,235,20
01:42.4,16.481,0.154,235,20
01:43.1,16.595,0.154,235,20
01:43.8,16.424,0.153,235,20
01:44.9,16.424,0.153,235,20
01:45.7,16.462,0.154,235,20
01:45.7,16.462,0.154,235,20
01:45.7,16.462,0.154,235,20
01:45.7,16.462,0.154,235,20
01:45.7,16.462,0.154,235,20
