dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,2023-10-07 17:25:42.082199,16.462,0.154,235.0
homing,,,,homing,,2023-10-07 17:25:42.777661,16.424,0.154,235.0
homing,,,,homing,,2023-10-07 17:25:43.483415,16.348,0.154,235.0
homing,,,,homing,,2023-10-07 17:25:44.910282,16.424,0.154,235.0
homing,,,,homing,,2023-10-07 17:25:45.610222,16.424,0.154,235.0
homing,,,,homing,,2023-10-07 17:25:46.994004,16.291,0.154,235.0
homing,,,,homing,,2023-10-07 17:25:47.685714,16.31,0.154,235.0
homing,,,,homing,,2023-10-07 17:25:49.081996,16.367,0.153,235.0
homing,,,,homing,,2023-10-07 17:25:49.773183,16.899,0.153,235.0
homing,,,,homing,,2023-10-07 17:25:50.465795,16.899,0.153,235.0
homing,,,,homing,,2023-10-07 17:25:51.884494,17.013,0.163,235.0
homing,,,,homing,,2023-10-07 17:25:52.573797,16.918,0.163,235.0
homing,,,,homing,,2023-10-07 17:25:53.975758,16.804,0.163,235.0
homing,,,,homing,,2023-10-07 17:25:53.975758,16.804,0.163,235.0
homing,,,,homing,,2023-10-07 17:25:55.878778,16.386,0.155,235.0
homing,,,,homing,,2023-10-07 17:25:56.568116,16.386,0.155,235.0
homing,,,,homing,,2023-10-07 17:25:57.947398,16.367,0.153,235.0
homing,,,,homing,,2023-10-07 17:25:58.640634,16.348,0.153,235.0
homing,,,,homing,,2023-10-07 17:26:00.020204,16.443,0.156,235.0
homing,,,,homing,,2023-10-07 17:26:00.709694,16.234,0.156,235.0
homing,,,,homing,,2023-10-07 17:26:02.092186,16.329,0.156,235.0
homing,,,,homing,,2023-10-07 17:26:02.782380,16.329,0.156,235.0
homing,nothing,false,true,homing,,2023-10-07 17:26:03.470712,17.222,0.156,235.0
homing,nothing,false,true,homing,,2023-10-07 17:26:04.850900,16.196,0.156,235.0
homing,nothing,false,true,homing,,2023-10-07 17:26:05.543220,15.949,0.156,235.0
go_to_pick_down,nothing,true,false,go_to_pick_down,,2023-10-07 17:26:06.934839,16.006,0.152,235.0
go_to_pick_down,nothing,true,false,go_to_pick_down,,2023-10-07 17:26:07.625530,16.006,0.152,235.0
go_to_pick_up,nothing,true,false,go_to_pick_up,true,2023-10-07 17:26:09.018086,22.481,0.156,235.0
go_to_color_detect_up,nothing,true,false,go_to_color_detect_up,true,2023-10-07 17:26:09.733249,22.481,0.156,235.0
