dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,2023-09-30 17:01:11.314087,16.462,0.15,238.7
homing,,,,homing,,2023-09-30 17:01:12.125638,16.424,0.15,238.7
homing,,,,homing,,2023-09-30 17:01:12.943856,16.424,0.149,238.7
homing,,,,homing,,2023-09-30 17:01:13.768864,16.424,0.149,238.7
homing,,,,homing,,2023-09-30 17:01:15.448812,16.462,0.15,238.7
homing,,,,homing,,2023-09-30 17:01:16.220309,16.462,0.15,236.8
homing,,,,homing,,2023-09-30 17:01:17.039334,16.424,0.15,236.8
homing,,,,homing,,2023-09-30 17:01:17.867819,16.424,0.15,236.8
homing,,,,homing,,2023-09-30 17:01:18.704138,16.576,0.15,236.8
homing,,,,homing,,2023-09-30 17:01:20.318728,16.557,0.151,236.8
homing,,,,homing,,2023-09-30 17:01:21.176249,16.614,0.151,236.8
homing,,,,homing,,2023-09-30 17:01:21.957481,16.348,0.149,236.8
homing,,,,homing,,2023-09-30 17:01:22.778327,16.424,0.149,236.8
homing,,,,homing,,2023-09-30 17:01:24.413898,16.386,0.147,236.8
homing,,,,homing,,2023-09-30 17:01:25.241162,16.386,0.147,236.8
homing,,,,homing,,2023-09-30 17:01:26.052253,16.253,0.148,236.8
homing,,,,homing,,2023-09-30 17:01:26.871685,16.272,0.148,236.8
homing,,,,homing,,2023-09-30 17:01:27.690891,16.424,0.148,236.8
homing,,,,homing,,2023-09-30 17:01:29.328196,16.671,0.15,236.8
homing,,,,homing,,2023-09-30 17:01:30.148002,16.671,0.15,236.8
homing,,,,homing,,2023-09-30 17:01:30.971820,16.652,0.151,236.8
homing,,,,homing,,2023-09-30 17:01:31.786548,16.557,0.151,236.8
homing,,,,homing,,2023-09-30 17:01:33.405324,16.595,0.15,238.7
homing,nothing,false,true,homing,,2023-09-30 17:01:34.141284,16.462,0.15,238.7
homing,nothing,false,true,homing,,2023-09-30 17:01:34.962456,16.462,0.149,238.7
homing,nothing,false,true,homing,,2023-09-30 17:01:35.670609,16.576,0.149,236.8
homing,nothing,false,true,homing,,2023-09-30 17:01:36.702206,16.728,0.149,236.8
homing,nothing,false,true,homing,,2023-09-30 17:01:38.226849,16.443,0.15,236.8
homing,nothing,false,true,homing,,2023-09-30 17:01:38.964814,16.443,0.15,236.8
homing,nothing,false,true,homing,,2023-09-30 17:01:40.493334,16.557,0.15,236.8
homing,nothing,false,true,homing,,2023-09-30 17:01:41.309345,16.709,0.15,236.8
