meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/belt_speed
35:01.0,17.393,0.167,235,40
35:01.7,17.525,0.167,235,40
35:03.1,17.62,0.174,235,40
35:03.8,17.487,0.174,235,40
35:04.5,17.487,0.172,235,40
35:06.0,17.62,0.172,235,40
35:06.7,17.62,0.172,235,40
35:08.1,17.317,0.172,235,40
35:08.8,17.734,0.172,235,40
35:09.5,17.525,0.172,235,40
35:10.9,17.506,0.173,235,40
35:11.6,17.506,0.173,235,40
35:13.0,17.393,0.173,235,40
35:13.6,17.393,0.172,235,40
35:15.0,17.468,0.172,235,40
35:15.7,17.639,0.173,235,40
35:17.1,17.43,0.173,235,40
35:17.8,17.867,0.175,235,40
35:18.6,17.449,0.175,235,40
35:20.0,17.639,0.173,235,40
35:20.7,17.639,0.173,235,40
35:22.1,17.487,0.172,235,40
35:22.8,17.487,0.172,236.8,40
