meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/belt_speed
39:23.6,16.538,0.159,235,60
39:24.3,16.538,0.159,235,60
39:25.7,16.633,0.159,236.8,60
39:26.4,16.367,0.159,236.8,60
39:27.8,16.557,0.159,235,60
39:28.5,16.519,0.156,235,60
39:29.9,16.386,0.156,235,60
39:30.6,16.386,0.159,235,60
39:31.2,16.462,0.159,235,60
39:32.6,16.462,0.16,235,60
39:33.3,16.519,0.16,235,60
39:34.7,16.31,0.16,233.1,60
39:35.4,16.31,0.162,233.1,60
39:36.8,16.595,0.162,235,60
39:37.5,16.519,0.16,235,60
39:38.2,16.405,0.16,233.1,60
39:39.6,16.671,0.162,233.1,60
39:40.3,16.671,0.162,233.1,60
39:41.7,16.215,0.161,233.1,60
39:42.4,16.595,0.161,235,60
39:43.7,16.595,0.161,235,60
39:44.4,16.424,0.161,235,60
39:45.8,16.576,0.161,235,60
39:46.5,16.576,0.161,235,60
39:47.2,16.253,0.161,235,60
39:48.8,16.443,0.159,235,60
39:49.9,16.538,0.159,235,60
39:50.7,16.557,0.161,235,60
39:51.7,16.747,0.161,235,60
39:52.4,16.747,0.159,235,60
39:53.8,16.253,0.159,236.8,60
39:54.5,16.595,0.159,236.8,60
39:55.9,16.576,0.159,236.8,60
39:56.6,16.576,0.159,236.8,60
39:57.3,16.576,0.158,236.8,60
39:58.7,16.424,0.158,235,60
39:58.7,16.424,0.158,235,60
40:00.7,16.633,0.155,235,60
40:01.4,16.633,0.155,235,60
40:02.7,16.652,0.16,235,60
40:03.4,16.652,0.16,235,60
40:04.8,16.595,0.159,233.1,60
40:05.5,16.424,0.159,233.1,60
40:06.2,16.424,0.162,233.1,60
40:07.6,16.538,0.162,235,60
40:08.3,16.538,0.161,235,60
40:09.7,16.69,0.161,235,60
40:10.4,16.538,0.161,235,60
40:11.8,16.291,0.161,233.1,60
40:12.5,16.804,0.161,233.1,60
40:13.9,16.519,0.161,235,60
40:14.6,16.519,0.161,235,60
40:15.3,16.652,0.161,235,60
40:16.7,16.424,0.161,235,60
40:17.4,16.443,0.16,235,60
40:18.8,16.823,0.16,235,60
40:19.5,16.823,0.159,235,60
40:20.8,16.614,0.159,236.8,60
40:21.5,16.633,0.159,236.8,60
40:22.3,16.633,0.159,236.8,60
40:23.6,16.652,0.158,236.8,60
40:24.3,16.652,0.158,236.8,60
40:25.7,16.652,0.158,236.8,60
40:26.4,16.5,0.159,236.8,60
40:27.8,16.576,0.159,236.8,60
40:28.5,16.557,0.159,236.8,60
40:29.9,16.633,0.159,235,60
40:30.6,16.633,0.157,235,60
40:31.3,16.785,0.157,235,60
40:32.7,16.481,0.159,235,60
40:33.4,16.633,0.159,235,60
40:34.8,16.5,0.159,235,60
40:35.4,16.5,0.158,235,60
40:36.8,16.557,0.158,235,60
40:37.5,16.633,0.162,235,60
40:38.9,16.595,0.162,233.1,60
40:39.6,16.747,0.16,233.1,60
40:40.3,16.747,0.16,235,60
40:41.7,16.519,0.16,235,60
40:42.4,16.595,0.16,235,60
40:43.8,16.519,0.161,235,60
40:44.5,16.538,0.161,235,60
40:45.8,16.519,0.161,235,60
40:46.5,16.519,0.162,235,60
40:47.9,16.348,0.162,236.8,60
40:48.6,16.481,0.16,236.8,60
40:49.3,16.481,0.16,236.8,60
40:50.7,16.443,0.159,236.8,60
40:51.4,16.443,0.159,236.8,60
40:52.8,16.614,0.16,236.8,60
40:53.5,16.538,0.16,236.8,60
40:54.9,16.652,0.158,236.8,60
40:55.6,16.253,0.158,236.8,60
40:57.0,16.5,0.158,235,60
40:57.7,16.5,0.159,235,60
40:58.3,16.367,0.159,235,60
40:59.7,16.386,0.158,235,60
41:00.6,16.614,0.158,235,60
41:01.9,16.348,0.156,235,60
41:02.9,16.348,0.156,235,60
41:03.6,16.614,0.159,235,60
41:05.0,16.519,0.159,235,60
41:05.7,16.519,0.159,235,60
41:06.3,16.519,0.159,235,60
41:07.7,16.215,0.159,235,60
41:08.6,16.215,0.161,235,60
41:09.3,16.671,0.161,235,60
41:10.7,16.652,0.16,235,60
41:11.4,16.386,0.16,235,60
41:12.9,16.576,0.16,235,60
41:13.6,16.576,0.16,235,60
41:15.0,16.272,0.161,235,60
41:15.7,16.576,0.161,236.8,60
41:16.4,16.538,0.161,236.8,60
41:17.8,16.652,0.159,236.8,60
41:18.5,16.652,0.159,236.8,60
41:19.9,16.614,0.16,236.8,60
41:20.6,16.329,0.16,236.8,60
41:22.0,16.576,0.158,236.8,60
41:22.0,16.576,0.158,236.8,60
41:23.7,16.31,0.159,236.8,60
41:24.4,16.31,0.159,236.8,60
41:25.8,16.405,0.159,235,60
41:26.5,16.367,0.159,235,60
41:27.9,16.804,0.159,235,60
41:28.6,16.462,0.159,235,60
41:30.0,16.481,0.159,235,60
41:30.7,16.481,0.159,235,60
41:31.4,16.595,0.159,235,60
41:32.8,16.443,0.156,235,60
41:33.6,16.804,0.156,235,60
41:35.0,16.538,0.159,235,60
41:35.7,16.538,0.159,235,60
41:36.4,16.538,0.159,235,60
41:37.3,16.443,0.158,235,60
41:38.9,16.481,0.158,235,60
41:39.6,16.481,0.162,235,60
41:40.3,16.728,0.162,235,60
41:41.9,16.633,0.16,235,60
41:42.6,16.956,0.16,236.8,60
41:43.3,16.5,0.16,236.8,60
41:44.7,16.519,0.159,235,60
41:45.4,16.519,0.159,235,60
41:46.8,16.804,0.159,235,60
41:47.5,16.538,0.159,235,60
41:48.9,16.766,0.16,235,60
41:49.6,16.481,0.16,235,60
41:51.0,16.671,0.16,235,60
41:51.7,16.671,0.16,235,60
41:52.4,16.633,0.16,235,60
41:53.7,16.557,0.16,235,60
41:54.6,16.747,0.16,235,60
41:55.9,16.405,0.161,235,60
41:56.6,16.405,0.161,235,60
41:58.0,16.728,0.159,235,60
41:58.7,16.728,0.159,235,60
41:59.4,16.291,0.159,235,60
42:00.8,16.69,0.159,235,60
42:01.5,16.69,0.158,235,60
42:02.2,16.614,0.158,235,60
