meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/belt_speed
16:49.5,15.949,0.153,235,0
16:50.9,15.987,0.152,235,0
16:51.6,16.025,0.152,235,0
16:53.0,15.892,0.153,235,0
16:53.7,16.025,0.153,235,0
16:54.4,16.025,0.152,235,0
16:55.8,16.025,0.152,235,0
16:56.5,15.987,0.152,235,0
16:57.9,16.025,0.152,235,0
16:58.6,16.025,0.152,235,0
17:00.0,15.968,0.153,235,0
17:00.6,16.025,0.153,235,0
17:02.0,16.101,0.153,235,0
17:02.7,16.063,0.153,235,0
17:03.4,16.063,0.153,235,0
17:04.8,16.082,0.153,235,0
17:05.5,15.93,0.153,235,0
17:06.9,16.006,0.153,235,0
17:07.6,15.892,0.153,235,0
17:09.0,15.987,0.153,235,0
17:09.7,15.987,0.153,235,0
17:11.1,15.93,0.152,236.8,0
17:11.8,16.196,0.152,236.8,0
17:12.5,16.196,0.152,236.8,0
17:13.9,16.025,0.152,236.8,0
17:14.6,15.892,0.153,236.8,0
17:16.0,15.779,0.153,236.8,0
17:16.6,15.93,0.152,236.8,0
17:18.0,16.006,0.152,236.8,0
17:18.7,16.006,0.153,236.8,0
17:19.4,15.949,0.153,236.8,0
17:20.8,16.044,0.153,236.8,0
17:21.5,16.101,0.152,236.8,0
17:22.9,16.12,0.152,236.8,0
17:23.6,16.12,0.152,236.8,0
17:25.0,16.158,0.152,236.8,0
17:25.7,16.063,0.152,236.8,0
17:27.0,16.082,0.152,236.8,0
17:27.7,16.082,0.152,236.8,0
17:28.4,16.025,0.152,236.8,0
17:29.9,16.025,0.152,236.8,0
17:30.5,16.082,0.152,236.8,0
17:31.9,16.044,0.152,236.8,0
17:32.6,16.044,0.152,236.8,0
17:34.0,15.873,0.152,236.8,0
17:34.7,15.987,0.153,236.8,0
17:36.1,15.968,0.153,236.8,0
17:36.8,15.911,0.153,236.8,0
17:37.4,15.911,0.153,235,0
17:38.8,16.063,0.153,235,0
17:39.5,16.063,0.153,235,0
17:40.9,16.044,0.153,235,0
17:41.6,16.044,0.153,235,0
17:43.0,16.025,0.153,235,0
17:43.7,16.063,0.153,235,0
17:45.1,16.063,0.153,235,0
17:45.8,15.93,0.154,235,0
17:46.4,15.93,0.154,235,0
17:47.8,16.044,0.153,235,0
17:48.6,15.949,0.153,235,0
17:49.9,15.968,0.153,235,0
17:50.6,16.082,0.153,235,0
17:51.3,16.082,0.153,235,0
17:53.0,15.987,0.159,235,0
17:53.8,16.044,0.159,235,0
17:54.5,15.892,0.158,235,0
17:55.9,16.044,0.158,236.8,0
17:56.6,16.044,0.158,236.8,0
17:58.0,16.006,0.152,236.8,0
17:58.7,15.987,0.152,236.8,0
18:00.0,16.025,0.152,236.8,0
18:00.7,16.025,0.152,236.8,0
18:02.1,16.044,0.152,236.8,0
18:02.8,16.044,0.152,236.8,0
18:03.5,16.006,0.152,236.8,0
18:04.9,16.063,0.152,236.8,0
18:05.6,16.063,0.152,236.8,0
18:07.0,16.082,0.152,236.8,0
18:07.7,16.082,0.152,236.8,0
18:09.1,15.873,0.152,236.8,0
18:09.7,15.987,0.152,236.8,0
18:11.1,16.025,0.153,236.8,0
18:11.8,16.025,0.153,235,0
18:12.5,16.025,0.153,235,0
18:13.9,16.025,0.154,235,0
18:14.6,16.025,0.154,235,0
18:16.0,15.949,0.153,235,0
18:16.6,16.025,0.153,235,0
18:18.0,16.025,0.153,235,0
18:18.7,16.139,0.153,235,0
18:20.1,16.12,0.153,235,0
18:20.8,16.12,0.153,235,0
18:21.5,16.158,0.154,235,0
18:22.9,16.082,0.154,235,0
18:23.6,16.025,0.154,235,0
18:24.9,16.101,0.153,235,0
18:25.6,16.101,0.153,235,0
18:27.0,15.93,0.153,235,0
18:27.7,16.044,0.153,235,0
18:29.1,15.93,0.154,235,0
18:29.8,15.93,0.154,235,0
18:30.5,16.063,0.153,235,0
18:31.9,16.101,0.153,235,0
18:32.6,15.93,0.153,235,0
18:34.0,15.987,0.153,235,0
18:34.7,15.987,0.153,235,0
18:36.0,15.949,0.153,235,0
18:36.7,16.177,0.153,235,0
18:38.1,15.987,0.153,235,0
18:38.8,15.987,0.153,235,0
18:40.2,16.101,0.153,236.8,0
18:40.9,16.101,0.153,236.8,0
18:41.5,16.025,0.159,236.8,0
18:42.9,15.873,0.159,236.8,0
18:43.6,15.873,0.154,236.8,0
18:45.1,15.987,0.154,236.8,0
18:45.8,15.987,0.154,236.8,0
18:47.2,16.025,0.153,236.8,0
18:47.9,16.101,0.153,236.8,0
18:48.6,16.101,0.153,236.8,0
18:50.0,16.006,0.153,236.8,0
18:50.7,16.044,0.153,236.8,0
18:52.0,15.968,0.153,236.8,0
18:52.7,15.987,0.153,236.8,0
18:54.1,16.006,0.153,236.8,0
18:54.8,16.006,0.153,236.8,0
18:56.2,16.044,0.153,236.8,0
18:56.9,15.987,0.153,236.8,0
18:57.6,15.987,0.153,236.8,0
18:59.0,16.063,0.153,236.8,0
18:59.7,16.063,0.154,236.8,0
19:01.1,16.082,0.154,236.8,0
19:01.8,16.044,0.154,236.8,0
19:03.2,16.006,0.154,236.8,0
19:03.9,16.006,0.159,236.8,0
19:04.6,16.063,0.159,236.8,0
19:05.9,15.987,0.159,236.8,0
19:06.6,16.025,0.159,236.8,0
19:08.0,15.987,0.159,235,0
19:08.7,15.987,0.159,235,0
19:10.1,15.949,0.159,235,0
19:10.8,16.082,0.159,235,0
19:12.1,16.006,0.159,235,0
19:12.8,16.006,0.154,235,0
19:13.5,16.025,0.154,235,0
19:14.9,16.101,0.158,235,0
19:15.6,16.082,0.158,236.8,0
19:17.0,16.006,0.16,236.8,0
19:17.7,16.006,0.16,236.8,0
19:19.1,16.063,0.16,236.8,0
19:19.8,16.063,0.154,236.8,0
19:21.1,16.12,0.154,236.8,0
19:21.8,16.12,0.154,236.8,0
19:22.5,16.12,0.154,236.8,0
19:23.9,16.006,0.153,236.8,0
19:24.6,15.949,0.153,236.8,0
19:26.0,15.93,0.153,236.8,0
19:26.7,15.93,0.153,236.8,0
19:28.0,16.044,0.153,236.8,0
19:28.7,16.063,0.154,236.8,0
19:30.1,16.101,0.154,236.8,0
19:30.9,16.006,0.153,236.8,0
19:31.6,16.006,0.153,236.8,0
19:32.9,16.044,0.153,236.8,0
19:33.6,15.93,0.153,236.8,0
19:35.0,16.082,0.153,236.8,0
19:35.7,16.044,0.159,236.8,0
19:37.1,16.025,0.159,236.8,0
19:37.8,16.025,0.154,236.8,0
19:39.1,16.158,0.154,236.8,0
19:39.8,16.177,0.153,236.8,0
19:41.2,16.101,0.153,236.8,0
19:41.9,16.101,0.154,236.8,0
19:42.6,16.044,0.154,236.8,0
19:44.0,16.12,0.154,236.8,0
19:44.7,16.044,0.154,236.8,0
19:46.0,16.063,0.154,236.8,0
19:46.7,16.063,0.154,236.8,0
19:48.1,15.987,0.154,236.8,0
19:48.8,16.006,0.153,236.8,0
19:49.7,16.006,0.153,236.8,0
19:50.6,15.911,0.153,236.8,0
19:52.2,15.93,0.153,235,0
19:53.2,15.93,0.154,235,0
19:53.9,16.082,0.154,235,0
19:54.7,16.082,0.154,235,0
19:56.0,15.987,0.154,235,0
19:56.7,15.987,0.154,235,0
19:57.4,16.082,0.154,235,0
19:59.1,16.101,0.154,235,0
19:59.8,16.158,0.154,235,0
20:01.2,15.911,0.154,235,0
20:01.9,15.911,0.154,235,0
