meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/belt_speed
42:55.6,16.367,0.158,235,70
42:56.3,16.652,0.158,235,70
42:57.0,16.291,0.158,235,70
42:58.4,16.12,0.157,235,70
42:59.1,16.12,0.157,235,70
43:00.5,16.367,0.157,235,70
43:01.2,16.5,0.157,235,70
43:01.9,16.5,0.158,235,70
43:03.5,16.5,0.158,235,70
43:04.2,16.5,0.154,235,70
43:05.6,16.709,0.154,235,70
43:06.3,16.538,0.158,235,70
43:07.6,16.386,0.158,235,70
43:08.3,16.443,0.157,235,70
43:09.0,16.443,0.157,235,70
43:10.4,16.367,0.157,236.8,70
43:11.1,16.348,0.157,236.8,70
43:12.6,16.576,0.157,235,70
43:13.3,16.481,0.157,235,70
43:14.1,16.481,0.157,235,70
43:15.5,16.158,0.16,235,70
43:16.2,16.405,0.16,235,70
43:17.0,16.481,0.16,235,70
43:18.6,16.329,0.157,235,70
43:19.4,16.291,0.157,235,70
43:20.1,16.291,0.155,235,70
43:21.5,16.595,0.155,235,70
43:22.2,16.481,0.159,235,70
43:23.6,16.462,0.159,235,70
43:24.3,16.519,0.16,235,70
43:25.7,16.462,0.16,235,70
43:26.4,16.462,0.157,235,70
43:27.1,16.348,0.157,235,70
43:28.5,16.424,0.157,235,70
43:29.2,16.424,0.157,235,70
43:30.6,16.158,0.156,235,70
43:31.2,16.158,0.156,235,70
43:32.7,16.443,0.156,235,70
43:33.3,16.557,0.158,235,70
43:34.0,16.424,0.158,236.8,70
43:35.4,16.405,0.158,236.8,70
43:36.1,16.405,0.158,235,70
43:37.5,16.671,0.157,235,70
43:38.2,16.519,0.157,235,70
43:38.8,16.519,0.157,235,70
43:40.4,16.5,0.157,235,70
43:41.1,16.5,0.157,235,70
43:42.5,16.633,0.161,235,70
43:43.2,16.5,0.161,235,70
43:44.6,16.595,0.16,235,70
43:45.3,16.386,0.16,235,70
43:46.7,16.025,0.157,235,70
43:47.3,16.025,0.157,235,70
43:48.7,16.405,0.158,235,70
43:49.4,16.519,0.158,235,70
43:50.1,16.424,0.158,235,70
43:51.5,16.367,0.158,235,70
43:52.3,16.367,0.158,235,70
43:52.9,16.481,0.159,235,70
43:54.5,16.519,0.159,235,70
43:55.3,16.386,0.157,235,70
43:56.7,16.576,0.157,235,70
43:57.4,16.576,0.155,235,70
43:58.1,16.595,0.155,235,70
43:59.7,16.5,0.161,235,70
44:00.4,16.5,0.161,235,70
44:01.1,16.5,0.161,235,70
44:02.5,16.101,0.16,236.8,70
44:03.2,16.101,0.16,236.8,70
44:04.6,16.405,0.157,235,70
44:05.3,16.614,0.157,235,70
44:06.7,16.272,0.156,235,70
44:07.4,16.139,0.156,235,70
44:08.1,16.139,0.156,235,70
44:09.4,16.5,0.16,235,70
44:10.1,16.519,0.16,235,70
44:11.5,16.215,0.159,235,70
44:12.2,16.215,0.159,235,70
44:13.6,16.614,0.155,235,70
44:14.3,16.614,0.155,235,70
44:15.7,16.462,0.158,235,70
44:16.4,16.443,0.158,235,70
44:17.1,16.443,0.158,235,70
44:18.7,16.253,0.158,235,70
44:19.5,16.253,0.158,235,70
44:20.3,16.348,0.158,235,70
44:21.1,16.652,0.158,235,70
44:22.1,16.652,0.158,235,70
44:23.5,16.139,0.158,235,70
44:24.2,16.139,0.157,235,70
44:25.6,16.462,0.157,236.8,70
44:26.3,16.481,0.158,236.8,70
44:27.6,16.31,0.158,235,70
44:28.3,16.386,0.158,235,70
44:29.7,16.69,0.158,235,70
44:30.4,16.69,0.157,235,70
44:31.1,16.348,0.157,235,70
44:32.5,16.576,0.157,236.8,70
44:33.2,16.576,0.157,236.8,70
44:34.6,16.329,0.157,235,70
44:35.2,16.329,0.16,235,70
44:36.6,16.31,0.16,235,70
44:37.3,16.576,0.161,235,70
44:38.7,16.367,0.161,235,70
44:39.4,16.367,0.161,235,70
44:40.8,16.424,0.155,235,70
44:41.5,16.424,0.155,235,70
44:42.1,16.519,0.158,235,70
44:43.5,16.348,0.158,235,70
44:44.2,16.348,0.159,235,70
44:45.7,16.633,0.159,235,70
44:46.4,16.633,0.158,235,70
44:47.7,16.481,0.158,235,70
44:48.4,16.557,0.158,235,70
44:49.1,16.557,0.158,235,70
44:50.5,16.462,0.158,235,70
44:51.2,16.348,0.158,235,70
44:52.6,16.5,0.158,235,70
44:53.3,16.5,0.158,235,70
44:54.7,16.424,0.158,235,70
44:55.3,16.424,0.158,235,70
44:56.7,16.462,0.158,235,70
44:57.4,16.462,0.157,235,70
44:58.1,16.557,0.157,235,70
44:59.5,16.272,0.158,235,70
45:00.2,16.272,0.158,235,70
45:01.6,16.5,0.16,235,70
45:02.4,16.5,0.16,235,70
45:03.1,16.443,0.16,235,70
45:04.5,16.348,0.159,235,70
45:05.2,16.348,0.159,235,70
45:06.6,16.481,0.157,235,70
45:07.3,16.5,0.157,235,70
45:08.7,16.348,0.158,235,70
45:09.3,16.633,0.158,235,70
45:10.7,16.481,0.159,235,70
45:11.4,16.481,0.159,235,70
45:12.8,16.443,0.157,235,70
45:13.5,16.443,0.157,235,70
45:14.2,16.443,0.157,235,70
45:15.5,16.291,0.156,235,70
45:16.2,16.291,0.156,236.8,70
45:17.6,16.139,0.156,236.8,70
45:18.3,16.576,0.156,235,70
45:19.7,16.462,0.158,235,70
45:20.4,16.405,0.158,235,70
45:21.8,16.557,0.157,235,70
45:22.4,16.557,0.157,235,70
45:23.1,16.652,0.157,235,70
45:24.5,16.5,0.157,235,70
45:25.2,16.652,0.157,235,70
45:26.6,16.386,0.157,235,70
45:27.3,16.386,0.157,235,70
45:28.7,16.158,0.158,235,70
45:29.4,16.424,0.158,235,70
45:30.7,16.595,0.157,235,70
45:31.4,16.31,0.157,235,70
45:32.1,16.31,0.157,235,70
45:33.5,16.291,0.155,235,70
45:34.2,16.519,0.155,235,70
45:35.6,16.557,0.158,235,70
45:36.3,16.234,0.158,235,70
45:37.6,16.652,0.158,235,70
45:38.3,16.652,0.158,236.8,70
45:39.7,16.671,0.157,236.8,70
45:40.4,16.405,0.157,236.8,70
45:41.8,16.481,0.157,235,70
45:42.5,16.595,0.157,235,70
45:43.2,16.595,0.157,235,70
45:44.6,16.139,0.16,235,70
45:45.2,16.367,0.16,235,70
45:46.6,16.557,0.16,235,70
45:47.3,16.557,0.16,235,70
45:48.7,16.253,0.157,235,70
45:49.4,16.253,0.157,235,70
45:50.8,16.481,0.159,235,70
45:51.5,16.538,0.159,235,70
45:52.2,16.538,0.159,235,70
45:53.5,16.462,0.157,235,70
45:54.2,16.462,0.157,235,70
45:55.6,16.652,0.159,235,70
45:56.3,16.405,0.159,235,70
45:57.7,16.405,0.157,235,70
45:58.4,16.405,0.157,235,70
45:59.7,16.272,0.157,235,70
46:00.4,16.272,0.157,235,70
46:01.8,16.367,0.157,235,70
46:02.5,16.69,0.159,235,70
46:03.2,16.69,0.159,235,70
46:04.6,16.329,0.158,235,70
46:05.3,16.12,0.158,235,70
46:06.7,16.481,0.158,235,70
46:07.4,16.5,0.158,235,70
46:08.8,16.405,0.157,235,70
46:09.5,16.405,0.157,235,70
46:10.2,16.424,0.157,235,70
46:11.6,16.747,0.16,235,70
46:12.3,16.519,0.16,235,70
46:13.7,16.348,0.16,235,70
46:14.4,16.348,0.16,235,70
46:15.7,16.386,0.155,235,70
46:16.4,16.386,0.155,235,70
46:17.8,16.386,0.158,235,70
46:18.5,16.652,0.158,235,70
46:19.2,16.652,0.158,235,70
