meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/belt_speed
21:48.4,16.538,0.159,235,10
21:49.8,16.557,0.159,235,10
21:50.5,16.557,0.159,235,10
21:51.2,16.652,0.159,235,10
21:52.6,16.538,0.159,235,10
21:53.3,16.69,0.159,235,10
21:54.5,16.69,0.159,235,10
21:55.4,16.557,0.159,235,10
21:56.7,16.557,0.16,235,10
21:57.4,16.633,0.16,235,10
21:58.8,16.595,0.159,235,10
21:59.5,16.728,0.159,235,10
22:00.2,16.728,0.159,235,10
22:01.6,16.633,0.159,235,10
22:02.2,16.633,0.159,235,10
22:03.6,16.69,0.16,235,10
22:04.3,16.766,0.16,235,10
22:05.7,16.443,0.159,235,10
22:06.4,16.519,0.159,235,10
22:07.8,16.557,0.159,235,10
22:08.5,16.557,0.159,235,10
22:09.2,16.652,0.159,235,10
22:10.6,16.671,0.159,235,10
22:11.3,16.671,0.159,235,10
22:12.7,16.614,0.159,235,10
22:13.3,16.614,0.159,235,10
22:14.8,16.538,0.165,235,10
22:15.4,16.462,0.165,235,10
22:16.8,16.709,0.165,235,10
22:17.5,16.728,0.165,235,10
22:18.3,16.728,0.159,235,10
22:19.6,16.5,0.159,235,10
22:20.3,16.519,0.159,235,10
22:21.7,16.671,0.158,235,10
22:22.4,16.614,0.158,235,10
22:23.8,16.538,0.158,235,10
22:24.5,16.538,0.158,235,10
22:25.2,16.5,0.158,235,10
22:26.6,16.614,0.158,235,10
22:27.3,16.538,0.159,235,10
22:28.7,16.633,0.159,235,10
22:29.4,16.633,0.159,235,10
22:30.8,16.538,0.16,235,10
22:31.5,16.538,0.16,235,10
22:32.8,16.652,0.16,233.1,10
22:33.5,16.5,0.16,233.1,10
22:34.2,16.5,0.16,233.1,10
22:35.7,16.576,0.16,233.1,10
22:36.4,16.443,0.16,233.1,10
22:37.7,16.614,0.16,233.1,10
22:38.4,16.557,0.16,233.1,10
22:39.8,16.519,0.16,233.1,10
22:40.5,16.519,0.162,233.1,10
22:41.2,16.69,0.162,233.1,10
22:42.6,16.69,0.167,233.1,10
22:43.5,16.595,0.167,233.1,10
22:44.2,16.595,0.167,233.1,10
22:45.6,16.633,0.162,233.1,10
22:46.3,16.633,0.162,233.1,10
22:47.7,16.804,0.161,233.1,10
22:48.4,16.652,0.161,233.1,10
22:49.8,16.69,0.16,233.1,10
22:50.5,16.633,0.16,233.1,10
