cube/weight,arm/velocity_ratio,arm/acceleration_ratio,belt/speed,dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage
1.2,55,55,55,homing,,,,homing,,,,,
1.2,55,55,55,homing,,,,homing,,,,,
1.2,55,55,55,homing,,,,homing,,,,,
1.2,55,55,55,homing,,,,homing,,2023-12-03 14:29:18.311445,16.462,0.153,238.7
1.2,55,55,55,homing,,,,homing,,2023-12-03 14:29:19.029029,16.462,0.153,238.7
1.2,55,55,55,homing,,,,homing,,2023-12-03 14:29:20.470346,16.519,0.153,238.7
1.2,55,55,55,homing,,,,homing,,2023-12-03 14:29:21.162975,16.519,0.153,238.7
1.2,55,55,55,homing,,,,homing,,2023-12-03 14:29:21.909641,16.69,0.153,238.7
1.2,55,55,55,homing,,,,homing,,2023-12-03 14:29:23.535010,16.766,0.154,238.7
1.2,55,55,55,homing,,,,homing,,2023-12-03 14:29:24.353461,16.557,0.154,238.7
1.2,55,55,55,homing,,,,homing,,2023-12-03 14:29:25.132900,16.367,0.153,238.7
1.2,55,55,55,homing,,,,homing,,2023-12-03 14:29:26.691711,16.158,0.153,238.7
1.2,55,55,55,homing,,,,homing,,2023-12-03 14:29:27.455552,16.158,0.15,238.7
1.2,55,55,55,homing,,,,homing,,2023-12-03 14:29:28.242067,16.253,0.15,238.7
1.2,55,55,55,homing,,,,homing,,2023-12-03 14:29:28.996121,16.253,0.15,238.7
1.2,55,55,55,homing,,,,homing,,2023-12-03 14:29:30.599675,16.215,0.151,238.7
1.2,55,55,55,homing,,,,homing,,2023-12-03 14:29:31.359739,16.272,0.151,238.7
1.2,55,55,55,homing,,,,homing,,2023-12-03 14:29:32.134453,16.272,0.151,238.7
1.2,55,55,55,homing,,,,homing,,2023-12-03 14:29:32.901258,16.481,0.151,238.7
1.2,55,55,55,moving_belt,nothing,false,true,moving_belt,,2023-12-03 14:29:34.442190,17.165,0.158,238.7
1.2,55,55,55,moving_belt,nothing,false,true,moving_belt,,2023-12-03 14:29:35.207798,17.222,0.158,238.7
1.2,55,55,55,moving_belt,nothing,false,true,moving_belt,,2023-12-03 14:29:36.639901,16.747,0.154,238.7
1.2,55,55,55,moving_belt,nothing,false,true,moving_belt,,2023-12-03 14:29:37.467141,16.595,0.154,238.7
1.2,55,55,55,moving_belt,nothing,false,true,moving_belt,,2023-12-03 14:29:38.277450,16.595,0.154,238.7
1.2,55,55,55,go_to_pick_down,nothing,true,false,go_to_pick_down,,2023-12-03 14:29:38.998104,16.766,0.154,238.7
1.2,55,55,55,go_to_pick_up_from_pick_down,nothing,true,false,go_to_pick_up_from_pick_down,true,2023-12-03 14:29:39.815326,16.196,0.154,238.7
1.2,55,55,55,go_to_pick_up_from_pick_down,nothing,true,false,go_to_pick_up_from_pick_down,true,2023-12-03 14:29:41.642908,18.589,0.151,238.7
1.2,55,55,55,go_to_color_detect_up,nothing,true,false,go_to_color_detect_up,true,2023-12-03 14:29:42.404837,23.659,0.207,238.7
1.2,55,55,55,go_to_color_detect_up,nothing,true,false,go_to_color_detect_up,true,2023-12-03 14:29:43.281538,23.298,0.207,238.7
1.2,55,55,55,go_to_color_detect_up,nothing,true,false,go_to_color_detect_up,true,2023-12-03 14:29:44.012116,23.905,0.207,238.7
1.2,55,55,55,go_to_color_detect_down,nothing,true,false,go_to_color_detect_down,true,2023-12-03 14:29:45.555936,22.69,0.206,238.7
1.2,55,55,55,go_to_color_detect_down,nothing,true,false,go_to_color_detect_down,true,2023-12-03 14:29:46.244821,22.386,0.206,238.7
1.2,55,55,55,go_to_color_detect_up,nothing,true,false,go_to_color_detect_up,false,2023-12-03 14:29:47.700594,22.348,0.2,238.7
1.2,55,55,55,go_to_color_detect_up,nothing,true,false,go_to_color_detect_up,false,2023-12-03 14:29:48.419716,16.747,0.2,238.7
1.2,55,55,55,detecting_color,nothing,false,false,detecting_color,false,2023-12-03 14:29:49.234846,16.747,0.156,238.7
1.2,55,55,55,go_to_color_detect_down,red,true,false,go_to_color_detect_down,false,2023-12-03 14:29:49.961339,16.367,0.156,238.7
1.2,55,55,55,go_to_color_detect_down,red,true,false,go_to_color_detect_down,false,2023-12-03 14:29:51.569305,16.177,0.15,238.7
1.2,55,55,55,go_to_color_detect_up,red,true,false,go_to_color_detect_up,true,2023-12-03 14:29:52.325385,16.158,0.15,238.7
1.2,55,55,55,go_to_color_detect_up,red,true,false,go_to_color_detect_up,true,2023-12-03 14:29:53.127589,21.019,0.209,238.7
1.2,55,55,55,go_to_red_up,red,true,false,go_to_red_up,true,2023-12-03 14:29:54.662025,23.279,0.209,238.7
1.2,55,55,55,go_to_red_up,red,true,false,go_to_red_up,true,2023-12-03 14:29:55.482186,22.424,0.203,238.7
1.2,55,55,55,go_to_red_up,red,true,false,go_to_red_up,true,2023-12-03 14:29:56.233374,22.842,0.203,238.7
1.2,55,55,55,go_to_red_down,red,true,false,go_to_red_down,true,2023-12-03 14:29:57.017202,22.899,0.203,238.7
1.2,55,55,55,go_to_red_down,red,true,false,go_to_red_down,true,2023-12-03 14:29:58.553314,22.158,0.204,238.7
1.2,55,55,55,go_to_red_up,red,true,false,go_to_red_up,false,2023-12-03 14:29:59.344703,22.064,0.204,238.7
1.2,55,55,55,go_to_red_up,red,true,false,go_to_red_up,false,2023-12-03 14:30:00.195850,22.064,0.2,238.7
1.2,55,55,55,go_to_pick_up_from_red,red,true,false,go_to_pick_up_from_red,false,2023-12-03 14:30:01.016352,16.709,0.2,238.7
1.2,55,55,55,go_to_pick_up_from_red,red,true,false,go_to_pick_up_from_red,false,2023-12-03 14:30:02.650088,16.405,0.152,238.7
1.2,55,55,55,go_to_pick_up_from_red,red,true,false,go_to_pick_up_from_red,false,2023-12-03 14:30:03.428651,16.538,0.152,238.7
1.2,55,55,55,go_to_pick_up_from_red,red,true,false,go_to_pick_up_from_red,false,2023-12-03 14:30:04.197501,16.329,0.153,238.7
1.2,55,55,55,moving_belt,red,false,true,moving_belt,false,2023-12-03 14:30:05.111069,16.329,0.153,238.7
1.2,55,55,55,moving_belt,red,false,true,moving_belt,false,2023-12-03 14:30:06.274894,16.861,0.153,238.7
1.2,55,55,55,moving_belt,red,false,true,moving_belt,false,2023-12-03 14:30:07.056539,16.785,0.154,238.7
1.2,55,55,55,moving_belt,red,false,true,moving_belt,false,2023-12-03 14:30:07.876143,16.538,0.154,238.7
1.2,55,55,55,moving_belt,red,false,true,moving_belt,false,2023-12-03 14:30:09.618273,16.956,0.154,238.7
1.2,55,55,55,go_to_pick_down,red,true,false,go_to_pick_down,false,2023-12-03 14:30:10.333284,16.5,0.154,238.7
1.2,55,55,55,go_to_pick_down,red,true,false,go_to_pick_down,false,2023-12-03 14:30:11.411911,16.5,0.154,238.7
1.2,55,55,55,go_to_pick_up_from_pick_down,red,true,false,go_to_pick_up_from_pick_down,true,2023-12-03 14:30:12.274345,16.31,0.154,238.7
1.2,55,55,55,go_to_color_detect_up,red,true,false,go_to_color_detect_up,true,2023-12-03 14:30:12.992340,18.95,0.198,238.7
1.2,55,55,55,go_to_color_detect_up,red,true,false,go_to_color_detect_up,true,2023-12-03 14:30:14.501813,22.424,0.198,238.7
1.2,55,55,55,go_to_color_detect_up,red,true,false,go_to_color_detect_up,true,2023-12-03 14:30:15.250387,22.975,0.206,238.7
1.2,55,55,55,go_to_color_detect_down,red,true,false,go_to_color_detect_down,true,2023-12-03 14:30:16.066016,22.842,0.206,238.7
1.2,55,55,55,go_to_color_detect_down,red,true,false,go_to_color_detect_down,true,2023-12-03 14:30:17.566744,22.481,0.203,238.7
1.2,55,55,55,go_to_color_detect_up,red,true,false,go_to_color_detect_up,false,2023-12-03 14:30:18.405451,22.329,0.203,238.7
1.2,55,55,55,go_to_color_detect_up,red,true,false,go_to_color_detect_up,false,2023-12-03 14:30:19.155948,21.722,0.175,238.7
1.2,55,55,55,detecting_color,red,false,false,detecting_color,false,2023-12-03 14:30:19.978852,16.975,0.175,238.7
