dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage,cube_weight_g
go_to_blue_up,blue,TRUE,FALSE,go_to_blue_up,TRUE,26:47.1,23.127,0.212,235,1.3
go_to_blue_up,blue,TRUE,FALSE,go_to_blue_up,TRUE,26:47.7,22.386,0.212,235,1.3
go_to_blue_up,blue,TRUE,FALSE,go_to_blue_up,TRUE,26:49.1,22.671,0.212,235,1.3
go_to_blue_down,blue,TRUE,FALSE,go_to_blue_down,TRUE,26:49.8,22.823,0.207,235,1.3
go_to_blue_down,blue,TRUE,FALSE,go_to_blue_down,TRUE,26:50.5,22.614,0.207,235,1.3
go_to_blue_up,blue,TRUE,FALSE,go_to_blue_up,FALSE,26:51.9,22.329,0.203,235,1.3
go_to_blue_up,blue,TRUE,FALSE,go_to_blue_up,FALSE,26:52.6,22.329,0.203,235,1.3
go_to_blue_up,blue,FALSE,TRUE,go_to_blue_up,FALSE,26:54.0,17.184,0.166,235,1.3
go_to_blue_up,blue,FALSE,TRUE,go_to_blue_up,FALSE,26:54.7,16.766,0.166,235,1.3
go_to_blue_up,blue,FALSE,TRUE,go_to_blue_up,FALSE,26:56.0,15.798,0.152,235,1.3
go_to_blue_up,blue,FALSE,TRUE,go_to_blue_up,FALSE,26:56.7,15.817,0.152,235,1.3
go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,FALSE,26:57.6,15.817,0.152,235,1.3
go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,FALSE,26:59.0,16.215,0.153,235,1.3
go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,FALSE,26:59.7,17.317,0.153,235,1.3
go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,FALSE,27:01.1,17.013,0.164,235,1.3
go_to_pick_down,blue,TRUE,FALSE,go_to_pick_down,FALSE,27:01.8,17.222,0.164,235,1.3
go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,TRUE,27:02.5,17.222,0.164,235,1.3
go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,TRUE,27:03.9,23.45,0.164,235,1.3
go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,TRUE,27:04.6,22.424,0.211,235,1.3
go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,TRUE,27:06.0,22.728,0.211,235,1.3
go_to_color_detect_down,blue,TRUE,FALSE,go_to_color_detect_down,TRUE,27:06.7,22.614,0.206,235,1.3
go_to_color_detect_down,blue,TRUE,FALSE,go_to_color_detect_down,TRUE,27:08.1,22.196,0.206,235,1.3
go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,FALSE,27:08.8,22.083,0.2,235,1.3
go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,FALSE,27:09.5,18.931,0.2,235,1.3
detecting_color,blue,FALSE,FALSE,detecting_color,FALSE,27:10.9,17.279,0.16,235,1.3
go_to_color_detect_down,red,TRUE,FALSE,go_to_color_detect_down,FALSE,27:11.6,16.633,0.16,235,1.3
go_to_color_detect_down,red,TRUE,FALSE,go_to_color_detect_down,FALSE,27:12.9,16.576,0.159,235,1.3
go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,TRUE,27:13.6,16.576,0.159,235,1.3
go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,TRUE,27:15.1,23.013,0.208,235,1.3
go_to_red_up,red,TRUE,FALSE,go_to_red_up,TRUE,27:15.8,22.177,0.208,235,1.3
go_to_red_up,red,TRUE,FALSE,go_to_red_up,TRUE,27:17.2,22.671,0.205,235,1.3
go_to_red_down,red,TRUE,FALSE,go_to_red_down,TRUE,27:17.9,22.519,0.205,235,1.3
go_to_red_down,red,TRUE,FALSE,go_to_red_down,TRUE,27:18.6,21.912,0.205,235,1.3
go_to_red_up,red,TRUE,FALSE,go_to_red_up,FALSE,27:20.2,22.083,0.199,235,1.3
go_to_red_up,red,TRUE,FALSE,go_to_red_up,FALSE,27:20.9,17.962,0.199,235,1.3
go_to_red_up,red,FALSE,TRUE,go_to_red_up,FALSE,27:21.5,17.127,0.166,235,1.3
go_to_red_up,red,FALSE,TRUE,go_to_red_up,FALSE,27:22.9,15.873,0.166,235,1.3
go_to_red_up,red,FALSE,TRUE,go_to_red_up,FALSE,27:23.6,15.873,0.152,235,1.3
go_to_pick_up,red,TRUE,FALSE,go_to_pick_up,FALSE,27:25.0,16.006,0.152,235,1.3
go_to_pick_up,red,TRUE,FALSE,go_to_pick_up,FALSE,27:25.7,15.987,0.155,235,1.3
go_to_pick_up,red,TRUE,FALSE,go_to_pick_up,FALSE,27:27.1,16.994,0.155,235,1.3
go_to_pick_up,red,TRUE,FALSE,go_to_pick_up,FALSE,27:27.8,16.804,0.155,235,1.3
go_to_pick_down,red,TRUE,FALSE,go_to_pick_down,FALSE,27:28.5,16.804,0.161,235,1.3
go_to_pick_up,red,TRUE,FALSE,go_to_pick_up,TRUE,27:29.9,17.051,0.161,235,1.3
go_to_pick_up,red,TRUE,FALSE,go_to_pick_up,TRUE,27:30.6,16.614,0.158,235,1.3
go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,TRUE,27:32.0,21.988,0.158,235,1.3
go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,TRUE,27:32.6,21.988,0.203,235,1.3
go_to_color_detect_down,red,TRUE,FALSE,go_to_color_detect_down,TRUE,27:34.0,22.386,0.203,235,1.3
go_to_color_detect_down,red,TRUE,FALSE,go_to_color_detect_down,TRUE,27:34.7,21.836,0.202,235,1.3
go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,FALSE,27:36.1,21.893,0.202,235,1.3
go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,FALSE,27:36.8,17.089,0.159,235,1.3
