cube/weight,arm/velocity_ratio,arm/acceleration_ratio,belt/speed,dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation2,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage
1.2,50,50,50,go_to_color_detect_down,green,TRUE,FALSE,joint 3 +,FALSE,34:03.6,16.424,0.156,238.7
1.2,50,50,50,go_to_color_detect_down,green,TRUE,FALSE,joint 3 +,FALSE,34:04.3,16.424,0.155,238.7
1.2,50,50,50,go_to_color_detect_down,green,TRUE,FALSE,joint 3 +,FALSE,34:05.7,16.747,0.155,238.7
1.2,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,joint 3 -,TRUE,34:06.3,16.5,0.156,238.7
1.2,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,joint 3 -,TRUE,34:07.9,23.013,0.156,238.7
1.2,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,joint 3 -,TRUE,34:08.6,22.671,0.205,238.7
1.2,50,50,50,go_to_blue_up,blue,TRUE,FALSE,joint 1 +,TRUE,34:09.3,22.481,0.205,238.7
1.2,50,50,50,go_to_blue_up,blue,TRUE,FALSE,joint 1 +,TRUE,34:10.7,21.893,0.199,238.7
1.2,50,50,50,go_to_pick_up_from_blue,blue,TRUE,FALSE,joint 1 -,FALSE,34:11.4,21.893,0.199,238.7
1.2,50,50,50,go_to_pick_up_from_blue,blue,TRUE,FALSE,joint 1 -,FALSE,34:12.7,16.31,0.155,238.7
1.2,50,50,50,go_to_pick_up_from_blue,blue,TRUE,FALSE,joint 1 -,FALSE,34:13.4,16.31,0.155,238.7
1.2,50,50,50,go_to_pick_up_from_blue,blue,TRUE,FALSE,joint 1 -,FALSE,34:14.8,16.519,0.155,238.7
1.2,50,50,50,moving_belt,blue,FALSE,TRUE,joint 1 -,FALSE,34:15.5,16.367,0.155,238.7
1.2,50,50,50,moving_belt,blue,FALSE,TRUE,joint 1 -,FALSE,34:16.8,16.861,0.155,238.7
1.2,50,50,50,moving_belt,blue,FALSE,TRUE,joint 1 -,FALSE,34:17.5,16.709,0.157,238.7
1.2,50,50,50,moving_belt,blue,FALSE,TRUE,joint 1 -,FALSE,34:18.2,16.709,0.157,238.7
1.2,50,50,50,moving_belt,blue,FALSE,TRUE,joint 1 -,FALSE,34:19.4,16.823,0.157,238.7
1.2,50,50,50,go_to_pick_down,blue,TRUE,FALSE,joint 3 +,FALSE,34:20.8,16.633,0.157,238.7
1.2,50,50,50,go_to_pick_down,blue,TRUE,FALSE,joint 3 +,FALSE,34:21.5,16.614,0.155,238.7
1.2,50,50,50,go_to_pick_up_from_pick_down,blue,TRUE,FALSE,joint 3 -,TRUE,34:22.8,16.538,0.155,238.7
1.2,50,50,50,go_to_pick_up_from_pick_down,blue,TRUE,FALSE,joint 3 -,TRUE,34:23.5,23.298,0.211,238.7
1.2,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,joint 1 +,TRUE,34:24.5,23.298,0.211,238.7
1.2,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,joint 1 +,TRUE,34:25.8,22.121,0.199,238.7
1.2,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,joint 1 +,TRUE,34:26.5,22.329,0.199,238.7
1.2,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,joint 2 +,TRUE,34:27.9,22.121,0.2,238.7
1.2,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,joint 2 +,TRUE,34:28.7,22.121,0.2,238.7
1.2,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,joint 2 +,TRUE,34:29.4,22.196,0.2,238.7
1.2,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,joint 2 +,TRUE,34:30.8,22.083,0.2,238.7
1.2,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,joint 3 -,FALSE,34:31.4,22.083,0.2,238.7
1.2,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,joint 3 -,FALSE,34:32.1,19.728,0.16,238.7
1.2,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,joint 3 -,FALSE,34:34.0,17.032,0.16,238.7
1.2,50,50,50,detecting_color,blue,FALSE,FALSE,detecting_color,FALSE,34:34.6,17.089,0.16,238.7
1.2,50,50,50,go_to_color_detect_down,blue,TRUE,FALSE,joint 3 +,FALSE,34:35.3,16.576,0.16,238.7
1.2,50,50,50,go_to_color_detect_down,blue,TRUE,FALSE,joint 3 +,FALSE,34:36.7,16.462,0.155,238.7
1.2,50,50,50,go_to_color_detect_down,blue,TRUE,FALSE,joint 3 +,FALSE,34:37.4,16.462,0.155,238.7
1.2,50,50,50,go_to_color_detect_down,blue,TRUE,FALSE,joint 3 +,FALSE,34:38.8,16.481,0.157,238.7
1.2,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,joint 3 -,TRUE,34:39.5,16.519,0.157,238.7
1.2,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,joint 3 -,TRUE,34:40.8,22.614,0.205,238.7
1.2,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,joint 3 -,TRUE,34:41.5,22.614,0.205,238.7
1.2,50,50,50,go_to_red_up,red,TRUE,FALSE,joint 1 +,TRUE,34:42.9,22.519,0.202,238.7
1.2,50,50,50,go_to_red_up,red,TRUE,FALSE,joint 1 +,TRUE,34:43.6,21.95,0.202,238.7
1.2,50,50,50,go_to_red_up,red,TRUE,FALSE,joint 1 +,TRUE,34:44.3,21.95,0.202,238.7
1.2,50,50,50,go_to_red_up,red,TRUE,FALSE,joint 1 +,TRUE,34:45.7,22.405,0.2,238.7
1.2,50,50,50,go_to_pick_up_from_red,red,TRUE,FALSE,joint 1 -,FALSE,34:46.4,22.234,0.2,238.7
1.2,50,50,50,go_to_pick_up_from_red,red,TRUE,FALSE,joint 1 -,FALSE,34:47.8,16.443,0.173,238.7
1.2,50,50,50,go_to_pick_up_from_red,red,TRUE,FALSE,joint 1 -,FALSE,34:48.5,16.443,0.173,238.7
1.2,50,50,50,go_to_pick_up_from_red,red,TRUE,FALSE,joint 1 -,FALSE,34:49.8,16.519,0.155,238.7
1.2,50,50,50,go_to_pick_up_from_red,red,TRUE,FALSE,joint 1 -,FALSE,34:50.5,16.519,0.155,238.7
1.2,50,50,50,moving_belt,red,FALSE,TRUE,joint 1 -,FALSE,34:51.9,16.576,0.155,238.7
1.2,50,50,50,moving_belt,red,FALSE,TRUE,joint 1 -,FALSE,34:52.6,16.88,0.155,238.7
1.2,50,50,50,moving_belt,red,FALSE,TRUE,joint 1 -,FALSE,34:54.0,16.785,0.158,238.7
1.2,50,50,50,moving_belt,red,FALSE,TRUE,joint 1 -,FALSE,34:54.6,16.861,0.158,238.7
1.2,50,50,50,moving_belt,red,FALSE,TRUE,joint 1 -,FALSE,34:56.0,16.709,0.158,238.7
1.2,50,50,50,go_to_pick_down,red,TRUE,FALSE,joint 3 +,FALSE,34:56.7,16.709,0.158,238.7
1.2,50,50,50,go_to_pick_down,red,TRUE,FALSE,joint 3 +,FALSE,34:57.4,16.861,0.158,238.7
1.2,50,50,50,go_to_pick_down,red,TRUE,FALSE,joint 3 +,FALSE,34:58.8,16.272,0.155,238.7
1.2,50,50,50,go_to_pick_up_from_pick_down,red,TRUE,FALSE,joint 3 -,TRUE,34:59.5,17.279,0.155,238.7
1.2,50,50,50,go_to_pick_up_from_pick_down,red,TRUE,FALSE,joint 3 -,TRUE,35:00.8,22.823,0.209,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 1 +,TRUE,35:01.5,22.557,0.209,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 1 +,TRUE,35:02.9,22.196,0.202,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 1 +,TRUE,35:03.6,22.424,0.202,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 2 +,TRUE,35:04.9,22.083,0.203,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 2 +,TRUE,35:05.6,22.083,0.203,238.7
