cube/weight,arm/velocity_ratio,arm/acceleration_ratio,belt/speed,dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation2,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/pose_x,dobot/pose_y,dobot/pose_z,dobot/pose_rHead,dobot/pose_joint1Angle,dobot/pose_joint2Angle,dobot/pose_joint3Angle,dobot/pose_joint4Angle
32,100,50,60,homing,,,,homing,,,,,,152.0113068,64.10190582,68.90083313,2.864748001,22.46474838,-11.71211052,25.50143242,-20
32,100,50,60,homing,,,,homing,,,,,,164.934021,3.641384602,68.90083313,-18.73523903,0.864760756,-11.71211052,25.50143242,-20
32,100,50,60,homing,,,,homing,,,,,,156.9573364,-50.80244064,68.90083313,-37.93523407,-18.33523178,-11.71211052,25.50143242,-20
32,100,50,60,homing,,,,homing,,52:31.5,16.234,0.154,236.8,131.5195465,-99.59467316,68.90083313,-57.13523865,-37.53524017,-11.71211052,25.50143242,-20
32,100,50,60,homing,,,,homing,,52:32.2,16.234,0.154,236.8,85.62034607,-141.0164795,68.90083313,-78.73532104,-59.13532257,-11.71211052,25.50143242,-20
32,100,50,60,homing,,,,homing,,52:33.6,16.367,0.155,236.8,34.48199844,-161.3303528,68.90083313,-97.93539429,-78.33539581,-11.71211052,25.50143242,-20
32,100,50,60,homing,,,,homing,,52:34.3,16.424,0.155,236.8,-20.49241066,-163.6965179,68.90083313,-117.1354675,-97.53546906,-11.71211052,25.50143242,-20
32,100,50,60,homing,,,,homing,,52:35.1,16.386,0.155,235,-79.31424713,-144.6573181,68.90083313,-138.7355499,-119.1355515,-11.71211052,25.50143242,-20
32,100,50,60,homing,,,,homing,,52:36.5,16.462,0.154,235,-119.1822586,-114.0705032,68.90083313,-156.2554474,-136.2354431,-11.71211052,25.50143242,-20
32,100,50,60,homing,,,,homing,,52:37.2,16.462,0.154,236.8,-117.2539673,-116.0517044,68.90083313,-155.2952423,-135.275238,-11.71211052,25.50143242,-20
32,100,50,60,homing,,,,homing,,52:38.6,16.386,0.157,236.8,-85.12536621,-148.9208221,67.2978363,-138.405014,-119.152916,-8.107633591,26.86436844,-18.5981884
32,100,50,60,homing,,,,homing,,52:39.3,16.329,0.157,236.8,-1.17272234,-190.3468323,60.13200378,-105.1199799,-89.75299072,2.015345335,30.69209862,-14.66127491
