cube/weight,arm/velocity_ratio,arm/acceleration_ratio,belt/speed,dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation2,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/pose_x,dobot/pose_y,dobot/pose_z,dobot/pose_rHead,dobot/pose_joint1Angle,dobot/pose_joint2Angle,dobot/pose_joint3Angle,dobot/pose_joint4Angle
32,100,100,60,homing,,,,homing,,,,,,176.29867553710938,60.552852630615234,80.46659851074219,-1.0440731048583984,18.555927276611328,-4.226199626922607,21.62180519104004,-20.0
32,100,100,60,homing,,,,homing,,,,,,186.40611267089844,-0.7940429449081421,80.46659851074219,-20.244064331054688,-0.6440640687942505,-4.226199626922607,21.62180519104004,-20.0
32,100,100,60,homing,,,,homing,,,,,,175.7764129638672,-62.05260467529297,80.46659851074219,-39.444053649902344,-19.84405517578125,-4.226199626922607,21.62180519104004,-20.0
32,100,100,60,homing,,,,homing,,2024-03-04 16:49:58.981951,16.215,0.154,233.1,144.77578735351562,-117.421630859375,80.46659851074219,-59.044071197509766,-39.44407272338867,-4.226199626922607,21.62180519104004,-20.0
32,100,100,60,homing,,,,homing,,2024-03-04 16:49:59.670776,16.215,0.154,233.1,91.38310241699219,-162.47152709960938,80.46659851074219,-80.64414978027344,-61.04415512084961,-4.226199626922607,21.62180519104004,-20.0
32,100,100,60,homing,,,,homing,,2024-03-04 16:50:01.055656,16.139,0.154,233.1,32.868350982666016,-183.48716735839844,80.46659851074219,-99.84422302246094,-80.24422454833984,-4.226199626922607,21.62180519104004,-20.0
32,100,100,60,homing,,,,homing,,2024-03-04 16:50:01.749471,16.044,0.154,233.1,-36.986183166503906,-182.70166015625,80.46659851074219,-121.44430541992188,-101.84430694580078,-4.226199626922607,21.62180519104004,-20.0
32,100,100,60,homing,,,,homing,,2024-03-04 16:50:03.139527,16.291,0.155,233.1,-95.01353454589844,-160.37548828125,80.46659851074219,-140.64437866210938,-121.04438018798828,-4.226199626922607,21.62180519104004,-20.0
32,100,100,60,homing,,,,homing,,2024-03-04 16:50:03.835070,16.291,0.155,233.1,-135.18014526367188,-128.3518524169922,80.46659851074219,-156.48423767089844,-136.4642333984375,-4.226199626922607,21.62180519104004,-20.0
32,100,100,60,homing,,,,homing,,2024-03-04 16:50:05.214972,16.063,0.155,233.1,-132.73635864257812,-130.87753295898438,80.46659851074219,-155.4040069580078,-135.38400268554688,-4.226199626922607,21.62180519104004,-20.0
32,100,100,60,homing,,,,homing,,2024-03-04 16:50:05.918566,16.063,0.155,233.1,-108.26850891113281,-156.2377471923828,78.20930480957031,-143.81068420410156,-124.21691131591797,-2.128880262374878,22.735136032104492,-19.045372009277344
32,100,100,60,homing,,,,homing,,2024-03-04 16:50:06.612527,16.31,0.156,233.1,-22.477108001708984,-201.88363647460938,68.74252319335938,-112.1189956665039,-95.75297546386719,5.284899711608887,26.670637130737305,-15.670875549316406
32,100,100,60,homing,,,,homing,,2024-03-04 16:50:07.992518,16.5,0.156,233.1,99.44623565673828,-203.47174072265625,44.39421081542969,-73.10590362548828,-63.353057861328125,19.909500122070312,34.43389892578125,-9.014261245727539
32,100,100,60,homing,,,,homing,,2024-03-04 16:50:08.686035,16.5,0.159,233.1,197.8502197265625,-139.32574462890625,19.2431640625,-38.84648513793945,-34.553131103515625,31.792526245117188,40.74183654785156,-3.6055169105529785
32,100,100,60,homing,,,,homing,,2024-03-04 16:50:10.066869,16.766,0.159,233.1,246.19680786132812,-34.738182067871094,3.8119583129882812,-8.739117622375488,-7.598313808441162,38.24275588989258,44.16585159301758,-0.6695944666862488
32,100,100,60,homing,,,,homing,,2024-03-04 16:50:10.757738,16.671,0.158,233.1,250.02381896972656,-0.010023366659879684,-0.02010345458984375,-0.0022969674319028854,-0.00012011290527880192,39.71455001831055,44.94677734375,0.0
32,100,100,60,homing,,,,homing,,2024-03-04 16:50:12.136145,16.329,0.158,233.1,249.99998474121094,0.00017966009909287095,-7.62939453125e-06,4.117506250622682e-05,4.117506250622682e-05,39.71385955810547,44.94676971435547,0.0
32,100,100,60,homing,,,,homing,,2024-03-04 16:50:12.842120,16.006,0.158,233.1,249.99998474121094,0.00017966009909287095,-7.62939453125e-06,4.117506250622682e-05,4.117506250622682e-05,39.71385955810547,44.94676971435547,0.0
32,100,100,60,homing,,,,homing,,2024-03-04 16:50:14.242022,16.348,0.155,233.1,249.99998474121094,0.00017966009909287095,-7.62939453125e-06,4.117506250622682e-05,4.117506250622682e-05,39.71385955810547,44.94676971435547,0.0
32,100,100,60,homing,,,,homing,,2024-03-04 16:50:14.938940,16.348,0.155,233.1,249.99998474121094,0.00017966009909287095,-7.62939453125e-06,4.117506250622682e-05,4.117506250622682e-05,39.71385955810547,44.94676971435547,0.0
32,100,100,60,homing,,,,homing,,2024-03-04 16:50:15.631891,16.481,0.157,233.1,249.99998474121094,0.00017966009909287095,-7.62939453125e-06,4.117506250622682e-05,4.117506250622682e-05,39.71385955810547,44.94676971435547,0.0
32,100,100,60,homing,,,,homing,,2024-03-04 16:50:17.027584,16.329,0.157,233.1,249.99998474121094,0.00017966009909287095,-7.62939453125e-06,4.117506250622682e-05,4.117506250622682e-05,39.71385955810547,44.94676971435547,0.0
32,100,100,60,homing,,,,homing,,2024-03-04 16:50:17.717503,16.367,0.156,233.1,249.99998474121094,0.00017966009909287095,-7.62939453125e-06,4.117506250622682e-05,4.117506250622682e-05,39.71385955810547,44.94676971435547,0.0
32,100,100,60,homing,,,,homing,,2024-03-04 16:50:19.098493,16.329,0.156,233.1,254.38803100585938,18.29193115234375,11.567779541015625,4.100799560546875e-05,4.462289333343506,37.856361389160156,39.760581970214844,-4.4622483253479
32,100,100,60,homing,,,,homing,,2024-03-04 16:50:19.788186,16.329,0.159,233.1,274.9834899902344,102.93213653564453,64.95720672607422,4.1961669921875e-05,20.53124237060547,42.434146881103516,13.631592750549316,-20.531200408935547
