dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,2023-10-15 14:21:02.724230,16.196,0.151,236.8
homing,,,,homing,,2023-10-15 14:21:03.527450,16.348,0.154,236.8
homing,,,,homing,,2023-10-15 14:21:04.714387,16.348,0.154,236.8
homing,,,,homing,,2023-10-15 14:21:05.408935,16.348,0.153,236.8
homing,,,,homing,,2023-10-15 14:21:06.212570,16.272,0.153,236.8
homing,,,,homing,,2023-10-15 14:21:07.681672,16.785,0.155,236.8
homing,,,,homing,,2023-10-15 14:21:07.681672,16.785,0.155,236.8
homing,,,,homing,,2023-10-15 14:21:07.681672,16.785,0.155,236.8
homing,,,,homing,,2023-10-15 14:21:10.795821,15.323,0.163,236.8
homing,,,,homing,,2023-10-15 14:21:11.494811,16.709,0.163,236.8
homing,,,,homing,,2023-10-15 14:21:12.319873,17.07,0.158,236.8
homing,,,,homing,,2023-10-15 14:21:13.726623,16.785,0.158,236.8
homing,,,,homing,,2023-10-15 14:21:14.692763,16.785,0.157,236.8
homing,,,,homing,,2023-10-15 14:21:15.403975,16.785,0.157,236.8
homing,,,,homing,,2023-10-15 14:21:16.257315,16.709,0.157,236.8
homing,,,,homing,,2023-10-15 14:21:17.708232,16.291,0.154,236.8
homing,,,,homing,,2023-10-15 14:21:18.405708,16.5,0.154,236.8
homing,,,,homing,,2023-10-15 14:21:18.405708,16.5,0.154,236.8
homing,,,,homing,,2023-10-15 14:21:20.641993,16.481,0.154,236.8
homing,,,,homing,,2023-10-15 14:21:21.340425,16.481,0.154,236.8
homing,,,,homing,,2023-10-15 14:21:22.039856,16.424,0.154,236.8
homing,,,,homing,,2023-10-15 14:21:23.740677,16.5,0.157,236.8
homing,,,,homing,,2023-10-15 14:21:24.440609,16.424,0.157,236.8
homing,,,,homing,,2023-10-15 14:21:25.363064,16.443,0.155,236.8
homing,,,,homing,,2023-10-15 14:21:26.067039,16.443,0.155,236.8
homing,,,,homing,,2023-10-15 14:21:27.359791,16.291,0.155,236.8
homing,,,,homing,,2023-10-15 14:21:28.776970,16.367,0.156,236.8
homing,,,,homing,,2023-10-15 14:21:29.480641,16.5,0.156,236.8
homing,,,,homing,,2023-10-15 14:21:30.179168,16.5,0.154,236.8
homing,,,,homing,,2023-10-15 14:21:31.582326,16.975,0.154,236.8
homing,nothing,false,true,homing,,2023-10-15 14:21:32.352876,16.975,0.157,236.8
