dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,2023-10-15 14:37:11.503103,16.443,0.154,235.0
homing,,,,homing,,2023-10-15 14:37:12.203745,16.443,0.154,235.0
homing,,,,homing,,2023-10-15 14:37:13.587003,16.5,0.161,235.0
homing,,,,homing,,2023-10-15 14:37:14.282878,16.5,0.161,236.8
homing,,,,homing,,2023-10-15 14:37:15.671981,16.443,0.16,236.8
homing,,,,homing,,2023-10-15 14:37:16.363739,16.595,0.16,236.8
homing,,,,homing,,2023-10-15 14:37:17.748398,16.348,0.16,236.8
homing,,,,homing,,2023-10-15 14:37:18.439387,16.462,0.16,236.8
homing,,,,homing,,2023-10-15 14:37:19.129984,16.462,0.16,236.8
homing,,,,homing,,2023-10-15 14:37:20.774385,16.823,0.161,236.8
homing,,,,homing,,2023-10-15 14:37:21.464877,16.823,0.161,236.8
homing,,,,homing,,2023-10-15 14:37:22.153903,16.785,0.162,236.8
homing,,,,homing,,2023-10-15 14:37:23.531750,16.614,0.162,236.8
homing,,,,homing,,2023-10-15 14:37:24.227382,16.614,0.159,236.8
homing,,,,homing,,2023-10-15 14:37:25.621951,16.177,0.159,236.8
homing,,,,homing,,2023-10-15 14:37:26.311204,16.177,0.154,236.8
homing,,,,homing,,2023-10-15 14:37:27.711539,16.12,0.154,236.8
homing,,,,homing,,2023-10-15 14:37:28.403865,16.291,0.155,236.8
homing,,,,homing,,2023-10-15 14:37:29.789976,16.215,0.155,236.8
homing,,,,homing,,2023-10-15 14:37:29.789976,16.215,0.155,236.8
homing,,,,homing,,2023-10-15 14:37:31.833834,16.272,0.155,236.8
homing,,,,homing,,2023-10-15 14:37:32.529092,16.386,0.155,236.8
homing,,,,homing,,2023-10-15 14:37:33.221205,16.139,0.154,236.8
homing,,,,homing,,2023-10-15 14:37:34.615236,16.101,0.154,236.8
homing,,,,homing,,2023-10-15 14:37:35.605790,16.101,0.156,236.8
homing,,,,homing,,2023-10-15 14:37:36.300023,16.519,0.156,236.8
homing,nothing,false,true,homing,,2023-10-15 14:37:37.702912,17.089,0.159,236.8
homing,nothing,false,true,homing,,2023-10-15 14:37:38.390336,16.557,0.159,236.8
homing,nothing,false,true,homing,,2023-10-15 14:37:39.780885,16.272,0.156,236.8
go_to_pick_up,nothing,true,false,go_to_pick_up,,2023-10-15 14:37:40.475676,16.139,0.156,236.8
go_to_pick_down,nothing,true,false,go_to_pick_down,,2023-10-15 14:37:41.477360,16.139,0.156,236.8
