meross/sample_timestamp,meross/power,meross/current,meross/voltage
13:19.2,2.962,0.048,236.8
13:20.1,2.962,0.044,236.8
13:20.9,2.943,0.044,236.8
13:21.7,2.943,0.044,236.8
13:23.3,2.943,0.045,236.8
13:24.2,2.943,0.045,236.8
13:25.2,2.943,0.042,236.8
13:26.0,2.943,0.042,236.8
13:26.8,2.943,0.044,236.8
13:27.6,3.019,0.044,236.8
13:29.3,3.019,0.045,236.8
13:30.1,3.019,0.045,236.8
13:30.9,3.019,0.05,236.8
13:31.7,3.019,0.05,236.8
13:32.6,3.019,0.05,236.8
13:34.2,3,0.047,236.8
13:35.0,3,0.047,236.8
13:35.9,3,0.048,236.8
13:36.6,3,0.048,236.8
13:38.2,3,0.049,236.8
13:39.0,3,0.049,236.8
13:40.1,3,0.048,236.8
13:40.9,3,0.048,236.8
13:41.7,3,0.046,236.8
13:43.3,3,0.046,236.8
13:44.1,3,0.048,236.8
13:44.9,3,0.048,236.8
13:45.7,3,0.048,236.8
13:46.5,3,0.045,236.8
13:48.2,2.962,0.046,236.8
13:49.0,2.962,0.046,236.8
13:49.8,2.962,0.046,236.8
13:50.6,2.962,0.049,236.8
13:52.2,2.962,0.045,236.8
13:53.0,2.962,0.045,236.8
13:53.9,2.962,0.045,236.8
13:54.7,2.905,0.046,236.8
13:56.2,2.905,0.046,236.8
13:56.9,2.905,0.044,236.8
13:57.7,2.905,0.044,236.8
13:58.6,2.905,0.044,236.8
14:00.2,2.905,0.048,236.8
14:01.0,3,0.043,236.8
14:01.8,3,0.043,236.8
14:02.7,3,0.043,236.8
14:04.3,3,0.044,236.8
14:05.1,3,0.044,236.8
14:06.0,3,0.045,236.8
14:06.8,3,0.045,236.8
14:07.6,3,0.045,236.8
14:09.2,3,0.046,236.8
14:10.0,3,0.045,236.8
14:10.9,3,0.045,236.8
14:11.7,3,0.045,236.8
14:13.3,3,0.043,235
14:14.2,3,0.043,235
14:14.9,3.057,0.045,235
14:15.7,3.057,0.045,236.8
14:16.5,3.057,0.052,236.8
14:18.2,3.057,0.052,236.8
14:19.0,3.057,0.045,236.8
14:19.7,3.057,0.045,236.8
14:20.6,3.057,0.045,236.8
14:22.3,3,0.044,236.8
14:23.1,3,0.044,236.8
14:24.0,3,0.047,236.8
14:24.8,3,0.047,236.8
14:25.6,3,0.048,236.8
14:26.6,3,0.048,236.8
14:28.2,3.019,0.046,236.8
14:29.0,3.019,0.046,236.8
14:29.9,3.019,0.046,236.8
14:30.6,3.019,0.046,236.8
14:32.3,3.019,0.044,236.8
14:33.1,3.019,0.044,236.8
14:33.8,3.019,0.044,236.8
14:34.6,3.019,0.046,236.8
14:36.3,3.038,0.046,236.8
14:37.1,3.038,0.046,236.8
14:37.9,3.038,0.046,236.8
14:38.7,3.038,0.05,236.8
14:40.3,3.038,0.05,236.8
14:41.2,3.038,0.049,236.8
14:42.0,3,0.049,236.8
14:42.8,3,0.047,236.8
14:43.6,3,0.047,236.8
14:45.2,3,0.05,236.8
14:46.1,3,0.05,236.8
14:46.9,3,0.045,236.8
14:47.7,3,0.045,236.8
14:49.3,2.943,0.054,236.8
14:50.1,2.943,0.054,236.8
14:50.9,2.943,0.054,236.8
14:51.7,2.943,0.045,236.8
14:53.3,2.943,0.047,236.8
14:53.3,2.943,0.047,236.8
14:55.4,2.924,0.047,236.8
14:56.1,2.924,0.047,236.8
14:56.8,2.924,0.047,236.8
14:57.6,2.924,0.051,236.8
14:59.3,2.924,0.051,236.8
15:00.3,2.924,0.046,236.8
15:01.1,2.924,0.046,236.8
15:01.9,2.924,0.048,236.8
15:02.8,2.981,0.048,236.8
15:03.6,2.981,0.048,236.8
15:05.2,2.981,0.048,236.8
15:06.0,2.981,0.047,236.8
15:06.9,2.981,0.047,236.8
15:07.7,2.981,0.047,236.8
