meross/sample_timestamp,meross/power,meross/current,meross/voltage
,,,
,,,
,,,
2023-09-29 16:52:29.424919,3.095,0.048,236.8
2023-09-29 16:52:30.244018,3.095,0.048,236.8
2023-09-29 16:52:31.267642,3.095,0.046,236.8
2023-09-29 16:52:32.100126,3.095,0.046,235.0
2023-09-29 16:52:32.907344,3.095,0.046,235.0
2023-09-29 16:52:34.554633,3.095,0.051,235.0
2023-09-29 16:52:35.364349,3.095,0.046,235.0
2023-09-29 16:52:36.129012,3.076,0.046,236.8
2023-09-29 16:52:36.920059,3.076,0.046,236.8
2023-09-29 16:52:38.539782,3.076,0.047,236.8
2023-09-29 16:52:39.358593,3.076,0.051,236.8
2023-09-29 16:52:40.177361,3.076,0.051,236.8
2023-09-29 16:52:40.997837,3.076,0.051,236.8
2023-09-29 16:52:42.531875,3.038,0.048,236.8
2023-09-29 16:52:43.355749,3.038,0.048,236.8
2023-09-29 16:52:44.070442,3.038,0.048,236.8
2023-09-29 16:52:44.891147,3.038,0.048,235.0
2023-09-29 16:52:46.530174,3.038,0.049,235.0
2023-09-29 16:52:47.447909,3.038,0.049,236.8
2023-09-29 16:52:48.228241,3.038,0.045,236.8
2023-09-29 16:52:49.089481,3.114,0.045,236.8
2023-09-29 16:52:49.908431,3.114,0.045,236.8
2023-09-29 16:52:51.509130,3.114,0.048,236.8
2023-09-29 16:52:52.263492,3.114,0.048,236.8
2023-09-29 16:52:53.079523,3.114,0.048,236.8
2023-09-29 16:52:54.616881,3.114,0.049,235.0
2023-09-29 16:52:55.356117,3.114,0.049,235.0
2023-09-29 16:52:56.150910,3.095,0.049,235.0
2023-09-29 16:52:56.970605,3.095,0.047,235.0
2023-09-29 16:52:58.509448,3.095,0.047,235.0
2023-09-29 16:52:59.325926,3.095,0.044,235.0
2023-09-29 16:53:00.148602,3.095,0.044,236.8
2023-09-29 16:53:00.863149,3.095,0.044,236.8
2023-09-29 16:53:02.504235,3.038,0.049,236.8
2023-09-29 16:53:03.320521,3.038,0.048,236.8
2023-09-29 16:53:04.139009,3.038,0.048,236.8
2023-09-29 16:53:05.068180,3.038,0.048,236.8
2023-09-29 16:53:05.880999,3.038,0.045,236.8
2023-09-29 16:53:07.104549,3.038,0.045,236.8
2023-09-29 16:53:07.928812,3.038,0.048,236.8
2023-09-29 16:53:09.463220,3.133,0.048,236.8
2023-09-29 16:53:10.283369,3.133,0.049,236.8
2023-09-29 16:53:11.104034,3.133,0.049,236.8
2023-09-29 16:53:11.925877,3.133,0.044,236.8
2023-09-29 16:53:13.561488,3.133,0.044,235.0
2023-09-29 16:53:14.379549,3.133,0.046,235.0
2023-09-29 16:53:15.199859,3.019,0.046,235.0
2023-09-29 16:53:16.017742,3.019,0.049,235.0
2023-09-29 16:53:16.835892,3.019,0.049,235.0
2023-09-29 16:53:18.479100,3.019,0.049,235.0
2023-09-29 16:53:19.297641,3.019,0.049,236.8
2023-09-29 16:53:20.113233,3.019,0.049,236.8
2023-09-29 16:53:20.932242,3.019,0.045,236.8
2023-09-29 16:53:21.752874,3.057,0.045,235.0
2023-09-29 16:53:23.494695,3.057,0.051,236.8
2023-09-29 16:53:24.315017,3.057,0.051,236.8
